"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","lou","nexus-80"
"253.0","458.0","lou","nexus-80"
"617.0","205.0","lou","nexus-80"
"461.0","346.0","lou","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"161.75","358.0","0.30240002","0.41935483","0"
"168.85487","375.0973","0.6624","0.41935483","150"
"175.76022","381.73553","0.6672","0.41935483","164"
"185.04005","391.50134","0.6912","0.41935483","178"
"192.5104","399.52997","0.70080006","0.41935483","192"
"197.86845","404.67377","0.7152","0.41935483","202"
"204.1607","410.7143","0.71040004","0.41935483","217"
"208.18094","414.57367","0.7056","0.48387095","236"
"212.81778","418.34167","0.71040004","0.54838705","253"
"219.22922","420.3933","0.7152","0.61290324","270"
"226.51224","420.5714","0.71040004","0.7096774","286"
"234.62228","418.51068","0.7152","0.6451613","303"
"246.40344","414.15076","0.73440003","0.61290324","320"
"263.36475","407.25836","0.73920006","0.6451613","336"
"277.89435","400.2799","0.73920006","0.6451613","353"
"299.0246","387.85858","0.7584","0.61290324","370"
"334.37466","367.42535","0.7296","0.61290324","386"
"355.89853","353.93835","0.75360006","0.61290324","403"
"380.35745","339.57983","0.7584","0.7096774","420"
"412.79517","320.59448","0.7584","0.6451613","436"
"438.96918","304.51447","0.73440003","0.6451613","453"
"462.61096","289.06122","0.7296","0.61290324","470"
"479.03323","277.98566","0.72480005","0.61290324","486"
"507.4618","259.13248","0.7056","0.61290324","503"
"535.43286","240.03107","0.7056","0.61290324","520"
"552.99133","228.64496","0.68160003","0.6774193","536"
"571.3658","217.66382","0.6624","0.6451613","553"
"583.4636","212.1489","0.67200005","0.61290324","570"
"592.22205","207.94482","0.68640006","0.61290324","586"
"597.9107","205.85712","0.6912","0.61290324","600"
"601.1817","204.50134","0.69600004","0.61290324","620"
"604.05707","204.57144","0.70080006","0.61290324","636"
"606.12366","205.1702","0.6912","0.61290324","653"
"606.3928","208.28592","0.6672","0.61290324","669"
"604.9649","212.96964","0.6528","0.61290324","686"
"601.5605","218.38718","0.648","0.61290324","701"
"594.33295","228.36627","0.68640006","0.61290324","718"
"588.08923","238.0","0.6912","0.61290324","728"
"571.35345","258.41013","0.6768","0.61290324","751"
"540.42615","291.88513","0.7152","0.61290324","768"
"521.06714","310.1786","0.71040004","0.61290324","785"
"501.04187","327.4804","0.72","0.61290324","801"
"481.82318","346.44403","0.744","0.61290324","818"
"462.97427","364.82062","0.71040004","0.61290324","835"
"449.47565","378.8902","0.6528","0.61290324","851"
"443.37177","386.64325","0.59040004","0.61290324","868"
"438.5357","391.4286","0.38880002","0.58064514","876"
