"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","lou","nexus-80"
"647.0","813.0","lou","nexus-80"
"604.0","604.0","lou","nexus-80"
"634.0","306.0","lou","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"362.64285","661.4286","0.17760001","0.41935483","0"
"364.72845","672.47766","0.5568","0.41935483","67"
"376.899","679.79376","0.58080006","0.48387095","84"
"413.33807","698.3088","0.5856","0.516129","101"
"455.98102","717.499","0.5568","0.516129","117"
"487.919","731.84686","0.5184","0.516129","134"
"518.5188","746.2372","0.5088","0.516129","151"
"558.82733","764.1141","0.4656","0.516129","167"
"606.626","782.8896","0.44640002","0.516129","184"
"631.64185","792.429","0.42720002","0.516129","201"
"647.02814","798.7593","0.4512","0.516129","217"
"657.43286","802.92786","0.44640002","0.516129","234"
"664.33777","805.39954","0.44160002","0.516129","251"
"669.6564","807.5093","0.432","0.516129","267"
"671.64343","808.0","0.432","0.516129","284"
"674.2334","807.1588","0.44160002","0.516129","301"
"675.1428","804.77673","0.49440002","0.516129","317"
"674.4466","800.6632","0.5088","0.516129","334"
"671.2777","792.72375","0.52320004","0.516129","351"
"665.5693","777.4917","0.53760004","0.516129","367"
"657.647","759.2394","0.5568","0.516129","384"
"651.9286","744.14294","0.5856","0.516129","396"
"645.48346","726.8667","0.624","0.516129","417"
"638.093","703.44305","0.648","0.516129","434"
"631.9306","681.6071","0.6672","0.516129","450"
"629.15625","670.40704","0.68160003","0.516129","467"
"627.012","661.7491","0.69600004","0.516129","484"
"624.9058","653.6613","0.6912","0.516129","500"
"622.8257","647.898","0.70080006","0.516129","517"
"621.67456","644.5827","0.70080006","0.516129","534"
"619.74054","639.0128","0.69600004","0.516129","550"
"617.1994","630.0686","0.6912","0.516129","569"
"615.1077","622.03656","0.6912","0.54838705","586"
"612.9991","611.19507","0.6912","0.54838705","603"
"612.6428","589.39856","0.7056","0.54838705","619"
"613.0522","556.46094","0.71040004","0.54838705","636"
"616.21423","512.7143","0.72480005","0.54838705","651"
"619.7435","477.5208","0.73920006","0.54838705","669"
"629.1077","403.60303","0.72480005","0.58064514","686"
"641.9432","338.76044","0.6912","0.61290324","702"
"656.7972","276.80017","0.64320004","0.61290324","719"
"675.26556","224.94083","0.45600003","0.6451613","736"
"679.6071","214.0","0.3456","0.58064514","739"
