"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","maggie","nexus-80"
"360.0","281.0","maggie","nexus-80"
"178.0","102.0","maggie","nexus-80"
"649.0","664.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"597.4643","531.1429","0.31680003","0.41935483","0"
"565.38684","511.33807","0.55200005","0.48387095","42"
"534.3604","483.4203","0.58080006","0.48387095","57"
"498.7345","448.3623","0.5952","0.516129","71"
"449.41504","403.99585","0.624","0.54838705","88"
"426.7595","381.55762","0.61920005","0.54838705","105"
"344.91818","304.5515","0.61920005","0.58064514","122"
"293.52737","250.97626","0.6","0.61290324","138"
"260.013","217.47534","0.624","0.61290324","155"
"241.69934","201.53088","0.6144","0.61290324","172"
"231.32074","195.38242","0.6","0.61290324","188"
"226.59497","193.42859","0.60480005","0.61290324","205"
"224.69641","194.71426","0.6144","0.61290324","218"
"226.31851","199.38596","0.61920005","0.61290324","238"
"281.03192","273.71967","0.5568","0.58064514","255"
"327.95746","332.4474","0.58080006","0.58064514","272"
"384.40652","395.16296","0.59040004","0.61290324","288"
"446.4197","463.91217","0.5856","0.61290324","305"
"493.56287","517.8785","0.58080006","0.61290324","322"
"541.61505","575.1176","0.5616","0.61290324","338"
"559.1592","598.4503","0.432","0.61290324","355"
