"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","lou","nexus-79"
"516.0","278.0","lou","nexus-79"
"191.0","503.0","lou","nexus-79"
"627.0","704.0","lou","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"476.92856","545.7143","0.21120001","0.41935483","0"
"467.10715","535.09033","0.6144","0.41935483","87"
"467.10715","528.1744","0.6144","0.4516129","102"
"469.1409","508.40454","0.61920005","0.48387095","117"
"473.05362","486.3227","0.624","0.516129","132"
"475.3389","472.06244","0.624","0.54838705","141"
"480.7848","444.2439","0.624","0.54838705","158"
"486.3036","417.57147","0.64320004","0.58064514","174"
"487.91492","405.28998","0.65760005","0.58064514","191"
"492.3012","377.3604","0.68160003","0.58064514","208"
"494.35596","353.55383","0.68640006","0.61290324","225"
"494.7857","339.64172","0.68640006","0.61290324","242"
"493.89282","332.06702","0.67200005","0.61290324","258"
"492.21246","326.4879","0.6768","0.61290324","275"
"490.05847","322.60474","0.6672","0.61290324","292"
"488.7453","321.34406","0.6672","0.61290324","308"
"486.06036","320.2857","0.6672","0.61290324","325"
"480.62592","321.3883","0.72480005","0.61290324","342"
"473.40298","324.12085","0.7296","0.61290324","359"
"461.66238","329.32782","0.71040004","0.61290324","375"
"444.87518","336.95703","0.7152","0.61290324","392"
"422.87747","349.34003","0.7152","0.6451613","409"
"397.46426","363.5714","0.71040004","0.6451613","425"
"384.21072","371.62512","0.7152","0.61290324","442"
"346.77673","395.40936","0.744","0.6774193","459"
"314.77063","417.26843","0.76320004","0.6774193","476"
"298.32953","429.8056","0.72480005","0.61290324","492"
"276.07272","446.94305","0.73920006","0.6451613","509"
"258.4528","461.48865","0.7584","0.61290324","526"
"244.8377","472.80725","0.74880004","0.61290324","543"
"238.50095","478.19818","0.73920006","0.61290324","559"
"230.43582","485.77588","0.7056","0.61290324","576"
"224.28952","492.08594","0.70080006","0.61290324","593"
"220.76688","496.68762","0.6912","0.61290324","610"
"218.62526","500.7995","0.70080006","0.61290324","626"
"218.0","505.0075","0.7296","0.61290324","643"
"220.06866","509.40045","0.75360006","0.6451613","660"
"225.5893","513.1428","0.74880004","0.6451613","675"
"235.74976","517.47797","0.7584","0.61290324","693"
"282.72144","536.48785","0.744","0.61290324","710"
"336.22653","557.7196","0.7296","0.61290324","727"
"383.90762","578.52594","0.73920006","0.61290324","743"
"430.06955","600.12976","0.72","0.61290324","760"
"475.22852","620.75543","0.72","0.61290324","777"
"520.20746","644.0344","0.6624","0.61290324","794"
"537.83795","653.68066","0.64320004","0.61290324","810"
"565.33954","669.3247","0.56640005","0.61290324","827"
"611.14856","695.6811","0.47040004","0.61290324","844"
"633.7223","708.9442","0.3264","0.61290324","861"
"666.21436","719.28577","0.192","0.48387095","875"
