"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","lou","nexus-59"
"647.0","813.0","lou","nexus-59"
"604.0","604.0","lou","nexus-59"
"634.0","306.0","lou","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"328.7143","699.7143","0.3072","0.41935483","0"
"345.2628","702.07635","0.65760005","0.48387095","75"
"360.28976","706.1041","0.6624","0.48387095","89"
"370.9593","708.7817","0.6528","0.48387095","104"
"394.8064","716.29236","0.61920005","0.48387095","119"
"422.4434","724.6511","0.5856","0.48387095","128"
"454.1879","734.4373","0.5472","0.48387095","145"
"488.03528","744.4113","0.5088","0.48387095","162"
"523.1521","756.44794","0.4848","0.48387095","179"
"551.6855","766.90283","0.43680003","0.48387095","196"
"575.058","775.6246","0.4128","0.48387095","213"
"582.8844","778.4655","0.3648","0.4516129","230"
"603.9069","786.1201","0.3792","0.4516129","247"
"616.4358","791.5349","0.35520002","0.4516129","263"
"622.49927","793.58826","0.3456","0.4516129","280"
"626.0594","795.73706","0.34080002","0.4516129","297"
"629.243","797.4286","0.3456","0.4516129","314"
"630.9464","797.4286","0.36960003","0.4516129","327"
"631.3928","794.12915","0.42240003","0.4516129","365"
"631.3928","787.1613","0.48960003","0.4516129","382"
"630.5","772.7717","0.52320004","0.4516129","399"
"628.37244","755.9038","0.5424","0.4516129","416"
"626.9286","732.7102","0.56640005","0.4516129","432"
"625.7152","712.68176","0.59040004","0.4516129","449"
"625.1428","698.0","0.6","0.4516129","464"
"625.0712","687.16455","0.6096","0.4516129","483"
"622.79645","668.51776","0.60480005","0.4516129","500"
"620.59644","658.2558","0.6","0.4516129","517"
"618.33734","652.36206","0.6","0.4516129","534"
"616.19904","648.2564","0.60480005","0.4516129","551"
"613.92535","643.891","0.60480005","0.4516129","568"
"611.78424","639.78","0.6096","0.4516129","584"
"610.8004","637.8911","0.6144","0.4516129","601"
"608.4432","633.3651","0.61920005","0.4516129","618"
"606.1995","628.01465","0.62880003","0.516129","636"
"603.99896","620.236","0.6384","0.58064514","652"
"601.751","610.5761","0.6384","0.58064514","669"
"600.1428","595.83734","0.6528","0.61290324","686"
"600.1428","566.9449","0.68160003","0.61290324","703"
"603.82904","536.58386","0.70080006","0.61290324","720"
"612.3304","491.24475","0.72480005","0.61290324","737"
"633.46246","429.84937","0.7296","0.61290324","754"
"657.50586","375.29266","0.7296","0.61290324","771"
"683.41003","321.0371","0.7056","0.61290324","788"
"708.05927","272.47324","0.6384","0.61290324","805"
"722.4643","246.2857","0.42720002","0.58064514","813"
