"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","Sean","nexus-09"
"274.0","724.0","Sean","nexus-09"
"356.0","105.0","Sean","nexus-09"
"454.0","391.0","Sean","nexus-09"
"X","Y","PRESSURE"
"278.375","701.36365","0.067200005"
