"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","lyle","nexus-79"
"253.0","458.0","lyle","nexus-79"
"617.0","205.0","lyle","nexus-79"
"461.0","346.0","lyle","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"185.85715","373.4286","0.264","0.41935483","0"
"189.52663","395.90253","0.77760005","0.61290324","115"
"201.13603","412.12384","0.7968","0.61290324","130"
"207.82404","422.28992","0.81600004","0.61290324","145"
"211.30356","427.85718","0.8112","0.61290324","155"
"215.4495","433.06207","0.8112","0.61290324","172"
"222.9403","441.59985","0.84480006","0.6774193","189"
"230.76535","449.11194","0.85440004","0.7419355","206"
"236.73569","454.56226","0.85920006","0.7741935","223"
"241.29178","457.03723","0.85920006","0.7419355","239"
"245.97961","458.2857","0.864","0.6774193","256"
"251.9827","457.41125","0.81600004","0.61290324","273"
"258.82092","452.68036","0.7968","0.6451613","289"
"267.01984","446.64594","0.80160004","0.61290324","306"
"293.32617","423.6869","0.77760005","0.61290324","323"
"329.05527","393.29865","0.7728","0.6774193","340"
"364.0601","367.46362","0.78720003","0.61290324","356"
"400.60944","340.7527","0.79200006","0.6451613","373"
"433.89926","318.9552","0.7728","0.61290324","390"
"469.84058","294.62866","0.76320004","0.61290324","407"
"500.29102","273.19373","0.75360006","0.61290324","423"
"513.14575","265.58887","0.7584","0.61290324","440"
"531.64044","253.80118","0.75360006","0.61290324","457"
"557.9534","237.85837","0.73920006","0.6774193","473"
"571.65814","230.67267","0.744","0.7419355","490"
"581.1457","226.97577","0.74880004","0.6774193","507"
"589.8676","223.94571","0.7584","0.61290324","524"
"597.91046","221.85724","0.7728","0.6774193","540"
"603.6055","220.03482","0.7824","0.7419355","557"
"607.73206","220.0","0.7968","0.7419355","569"
"610.6891","220.0","0.80640006","0.7419355","591"
"613.2262","221.41718","0.81600004","0.7741935","607"
"613.5357","223.20764","0.82080007","0.7096774","624"
"611.26227","227.13086","0.81600004","0.6451613","641"
"604.1716","236.91287","0.79200006","0.6774193","657"
"587.02277","256.44186","0.7728","0.61290324","674"
"567.556","278.42572","0.768","0.6774193","691"
"554.16077","294.14288","0.75360006","0.6451613","704"
"539.56616","310.60046","0.7584","0.61290324","724"
"520.3242","334.73926","0.72480005","0.6774193","741"
"504.50488","358.15955","0.56640005","0.61290324","758"
