"ChallengeX","ChallengeY","Tester Name","Device Name"
"222.0","895.0","Ryan","nexus-03"
"544.0","187.0","Ryan","nexus-03"
"358.0","566.0","Ryan","nexus-03"
"275.0","679.0","Ryan","nexus-03"
"X","Y","PRESSURE"
"602.125","129.84848","0.057600003"
"598.80536","134.3551","0.1632"
"595.25","141.36365","0.1488"
