"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","tim","nexus-79"
"340.0","367.0","tim","nexus-79"
"439.0","650.0","tim","nexus-79"
"106.0","619.0","tim","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"546.5714","694.8572","0.072000004","0.22580644","0"
"536.59015","688.55023","0.1488","0.22580644","102"
"534.5947","683.5072","0.1488","0.22580644","116"
"531.1351","676.9145","0.15840001","0.22580644","131"
"527.3032","670.5395","0.15840001","0.19354838","145"
"521.16626","661.5078","0.1632","0.19354838","160"
"514.16956","645.70557","0.16800001","0.19354838","176"
"507.2246","631.5402","0.1728","0.19354838","193"
"501.91852","622.62604","0.1728","0.19354838","210"
"490.90582","601.7358","0.1824","0.19354838","227"
"476.2332","576.2846","0.18720001","0.19354838","243"
"466.49518","563.32904","0.1824","0.19354838","260"
"453.22656","543.99896","0.192","0.19354838","277"
"439.04047","523.72687","0.18720001","0.19354838","294"
"428.24854","509.08832","0.1824","0.19354838","310"
"414.875","487.85712","0.18720001","0.19354838","325"
"407.64896","476.4663","0.18720001","0.19354838","344"
"394.61185","458.03534","0.18720001","0.19354838","361"
"386.7265","445.82336","0.192","0.19354838","377"
"379.40714","432.18744","0.192","0.19354838","394"
"370.90994","415.9469","0.192","0.19354838","411"
"365.70093","405.62512","0.2064","0.19354838","428"
"361.69757","397.32788","0.20160002","0.19354838","444"
"359.51788","390.5714","0.20160002","0.19354838","459"
"356.33398","383.5448","0.20160002","0.19354838","478"
"352.622","373.52002","0.20160002","0.19354838","494"
"350.74817","367.45764","0.20160002","0.19354838","511"
"348.70276","362.09216","0.2064","0.19354838","528"
"346.77478","359.05243","0.21120001","0.22580644","545"
"345.65802","356.266","0.22080001","0.22580644","561"
"343.6551","354.34314","0.22080001","0.22580644","578"
"343.89285","352.4286","0.21120001","0.22580644","593"
"343.89285","351.69458","0.21120001","0.22580644","612"
"343.89285","353.74426","0.22080001","0.22580644","628"
"343.89285","356.53253","0.216","0.22580644","645"
"345.33792","360.7746","0.21120001","0.22580644","662"
"347.3424","366.9605","0.216","0.22580644","679"
"350.64673","378.1471","0.216","0.22580644","695"
"356.7078","395.78918","0.21120001","0.22580644","712"
"359.96426","408.57147","0.21120001","0.22580644","724"
"363.29742","424.57056","0.21120001","0.22580644","746"
"370.18045","452.08728","0.21120001","0.22580644","762"
"375.3319","478.37976","0.20160002","0.22580644","779"
"380.38937","497.43115","0.2064","0.22580644","796"
"385.24667","511.5202","0.2064","0.22580644","813"
"393.4538","535.45685","0.2064","0.22580644","829"
"399.2973","553.264","0.2064","0.22580644","846"
"402.38812","561.17645","0.2064","0.22580644","863"
"410.7038","581.361","0.2064","0.22580644","880"
"417.0072","596.0618","0.2064","0.22580644","896"
"422.79758","609.24567","0.20160002","0.22580644","913"
"429.11795","620.3974","0.21120001","0.22580644","930"
"433.17856","628.8572","0.21120001","0.22580644","945"
"438.16943","638.43964","0.216","0.22580644","963"
"440.11752","643.50275","0.216","0.22580644","980"
"443.6032","650.5868","0.21120001","0.22580644","997"
"445.9613","657.6857","0.216","0.22580644","1013"
"448.24487","662.0701","0.22080001","0.22580644","1030"
"449.25","666.3879","0.22080001","0.22580644","1047"
"449.25","669.6234","0.216","0.22580644","1064"
"449.25","671.9066","0.216","0.22580644","1080"
"448.35715","673.8572","0.21120001","0.22580644","1096"
"446.6038","675.1118","0.2064","0.22580644","1114"
"443.24432","675.1429","0.2064","0.22580644","1131"
"438.81903","675.1429","0.19680001","0.22580644","1147"
"434.3548","675.1429","0.19680001","0.22580644","1164"
"425.49738","673.6681","0.19680001","0.19354838","1181"
"414.63705","671.5829","0.2064","0.19354838","1198"
"402.8615","669.6382","0.2064","0.19354838","1214"
"392.38443","668.4105","0.21120001","0.19354838","1231"
"376.66846","666.8036","0.216","0.19354838","1248"
"350.8449","662.9695","0.21120001","0.19354838","1265"
"328.4087","660.2133","0.216","0.19354838","1281"
"309.88","657.991","0.2064","0.19354838","1298"
"293.90036","655.4302","0.2064","0.19354838","1315"
"272.40927","652.274","0.21120001","0.19354838","1332"
"255.19852","648.9638","0.21120001","0.19354838","1348"
"245.9357","647.8523","0.21120001","0.19354838","1365"
"230.47961","645.24756","0.21120001","0.19354838","1382"
"210.77972","642.559","0.21120001","0.19354838","1399"
"195.2178","639.78345","0.216","0.19354838","1415"
"183.40396","637.8932","0.22080001","0.19354838","1432"
"171.97964","634.95514","0.22080001","0.19354838","1449"
"156.98349","630.56976","0.2256","0.19354838","1466"
"142.76784","627.2486","0.2256","0.19354838","1482"
"134.07143","625.8571","0.23040001","0.19354838","1495"
"124.5217","624.32916","0.23040001","0.19354838","1516"
"114.0751","619.68744","0.19680001","0.19354838","1532"
"106.14548","616.98456","0.13440001","0.19354838","1549"
"101.92856","614.71436","0.0816","0.19354838","1564"
