"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","maggie","nexus-80"
"647.0","813.0","maggie","nexus-80"
"604.0","604.0","maggie","nexus-80"
"634.0","306.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"359.9643","682.8572","0.24960001","0.41935483","0"
"375.19427","695.1703","0.5472","0.41935483","69"
"407.2446","709.9015","0.55200005","0.41935483","86"
"459.94714","732.9567","0.5184","0.41935483","103"
"508.49493","752.44226","0.5088","0.41935483","119"
"551.8127","766.3952","0.5088","0.41935483","135"
"578.5795","775.09973","0.5424","0.41935483","152"
"596.0863","780.56085","0.5616","0.41935483","168"
"607.699","783.0508","0.56640005","0.41935483","185"
"611.8145","784.0155","0.57600003","0.41935483","202"
"616.4741","782.64404","0.5712","0.41935483","218"
"618.0","776.2989","0.5856","0.41935483","235"
"617.14966","756.3271","0.5856","0.41935483","251"
"608.9325","712.1255","0.5856","0.41935483","268"
"599.706","677.31946","0.6","0.48387095","285"
"595.21735","661.1646","0.6384","0.48387095","301"
"592.9309","649.9539","0.648","0.48387095","318"
"592.01575","645.56146","0.6528","0.48387095","335"
"590.7453","636.48474","0.648","0.516129","351"
"589.64465","627.32275","0.63360006","0.54838705","368"
"588.5357","613.65717","0.65760005","0.54838705","385"
"588.5357","587.46375","0.648","0.58064514","401"
"593.13635","545.6042","0.648","0.58064514","418"
"601.4103","499.93237","0.63360006","0.61290324","435"
"611.8079","451.50464","0.64320004","0.61290324","451"
"619.75995","430.4997","0.63360006","0.61290324","468"
"623.3571","420.5714","0.6144","0.61290324","471"
