"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","maggie","nexus-80"
"360.0","281.0","maggie","nexus-80"
"178.0","102.0","maggie","nexus-80"
"649.0","664.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"657.2857","541.4286","0.2064","0.41935483","0"
"647.4643","539.7143","0.5088","0.41935483","45"
"642.3259","536.5832","0.528","0.41935483","55"
"630.6914","529.6506","0.5424","0.41935483","68"
"611.08386","515.9721","0.55200005","0.41935483","85"
"540.5579","452.45856","0.56640005","0.41935483","102"
"476.43918","387.57324","0.6","0.4516129","119"
"411.72028","312.24768","0.60480005","0.48387095","135"
"361.12347","252.87158","0.6384","0.54838705","152"
"314.1652","202.60431","0.63360006","0.54838705","169"
"280.5818","171.26807","0.6528","0.54838705","185"
"260.85712","157.0","0.67200005","0.54838705","200"
"255.46326","154.84305","0.6768","0.54838705","219"
"252.47592","157.56647","0.6672","0.54838705","235"
"255.95007","175.09833","0.63360006","0.54838705","252"
"289.6656","241.5726","0.61920005","0.54838705","269"
"351.04346","326.0327","0.60480005","0.54838705","285"
"435.59222","422.15198","0.56640005","0.58064514","302"
"497.2204","491.11444","0.55200005","0.58064514","319"
"526.0514","523.96094","0.5616","0.58064514","335"
"590.80255","595.0765","0.48000002","0.58064514","352"
"619.7857","629.7143","0.39360002","0.58064514","356"
