"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","maggie","nexus-80"
"340.0","367.0","maggie","nexus-80"
"439.0","650.0","maggie","nexus-80"
"106.0","619.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"534.0714","616.0","0.1728","0.16129032","0"
"523.3571","609.1429","0.3648","0.2580645","26"
"503.88092","591.51105","0.44160002","0.32258064","44"
"473.93594","559.28485","0.5184","0.3548387","61"
"447.95993","522.793","0.5328","0.41935483","77"
"422.31906","488.0766","0.59040004","0.41935483","92"
"406.83322","463.48932","0.59040004","0.41935483","109"
"401.3941","454.8592","0.6","0.41935483","126"
"394.59735","445.58594","0.6144","0.41935483","142"
"391.15704","443.7143","0.6144","0.48387095","159"
"389.42856","447.57385","0.63360006","0.48387095","176"
"391.9769","462.67834","0.64320004","0.48387095","192"
"405.6164","525.4993","0.5856","0.48387095","209"
"418.76","589.546","0.504","0.48387095","226"
"422.9107","625.0","0.42240003","0.48387095","237"
"414.18103","659.1421","0.3648","0.4516129","259"
"399.447","677.5252","0.3456","0.4516129","276"
"363.39905","683.7143","0.35520002","0.41935483","292"
"316.29163","677.57446","0.47040004","0.41935483","309"
"257.60907","663.7203","0.504","0.48387095","325"
"209.10872","649.8661","0.55200005","0.48387095","342"
"170.92282","641.1523","0.60480005","0.48387095","359"
"155.44286","637.8115","0.62880003","0.48387095","375"
"129.98996","626.5307","0.4656","0.41935483","392"
