"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","lyle","nexus-80"
"340.0","367.0","lyle","nexus-80"
"439.0","650.0","lyle","nexus-80"
"106.0","619.0","lyle","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"524.25","704.2857","0.28800002","0.6774193","0"
"517.1071","689.7143","0.85920006","0.6774193","110"
"515.17755","680.31433","0.86880004","0.61290324","124"
"511.3026","668.71155","0.88320005","0.61290324","139"
"507.54205","657.88116","0.87360007","0.61290324","153"
"502.2917","644.9829","0.864","0.6451613","167"
"492.312","620.18365","0.85920006","0.6774193","186"
"485.4107","603.1428","0.85440004","0.61290324","202"
"482.0888","594.00446","0.85440004","0.6451613","220"
"468.04758","559.21564","0.88320005","0.61290324","236"
"455.96506","529.47144","0.8880001","0.6774193","253"
"445.51974","506.1217","0.8784","0.6774193","270"
"436.27542","487.3745","0.864","0.6451613","286"
"426.91196","463.9077","0.864","0.7096774","303"
"418.22736","442.38593","0.864","0.6451613","320"
"409.0714","425.2857","0.85920006","0.61290324","332"
"401.45444","408.25586","0.85440004","0.6774193","353"
"391.06277","388.93817","0.85440004","0.61290324","370"
"384.18765","377.29163","0.8496","0.61290324","386"
"379.27148","370.37378","0.85440004","0.61290324","403"
"375.19104","366.61768","0.85920006","0.61290324","419"
"372.7707","364.29413","0.86880004","0.61290324","436"
"370.5939","362.20447","0.87360007","0.61290324","453"
"369.3393","361.0","0.87360007","0.61290324","467"
"367.51715","361.8921","0.87360007","0.61290324","486"
"365.4235","364.6612","0.88320005","0.6774193","503"
"365.3214","369.48425","0.86880004","0.7096774","519"
"365.3214","377.3905","0.85440004","0.7096774","536"
"366.10703","392.2162","0.864","0.7741935","553"
"369.28885","414.47107","0.85440004","0.6774193","569"
"373.46103","440.5053","0.864","0.7419355","586"
"375.82483","455.25555","0.864","0.7096774","603"
"381.78995","483.90582","0.86880004","0.61290324","619"
"391.70206","526.60065","0.8784","0.61290324","636"
"398.469","555.60815","0.86880004","0.6451613","653"
"403.75482","580.1557","0.85920006","0.61290324","669"
"408.31525","597.66766","0.864","0.6774193","686"
"413.793","614.2931","0.864","0.7419355","703"
"418.0","625.00006","0.88320005","0.7419355","718"
"418.5757","628.49646","0.8880001","0.7419355","736"
"420.8857","635.25494","0.92160004","0.80645156","753"
"422.4643","639.33514","0.9408001","0.80645156","769"
"423.39066","643.4929","0.96000004","0.80645156","786"
"423.35715","646.1992","0.96480006","0.80645156","802"
"423.35715","648.293","0.96480006","0.80645156","819"
"423.35715","650.42737","0.95040005","0.80645156","836"
"423.35715","651.7341","0.9552","0.80645156","852"
"423.35715","653.4612","0.95040005","0.80645156","869"
"423.35715","655.46454","0.95040005","0.80645156","886"
"423.35715","657.45337","0.9408001","0.80645156","902"
"422.64224","659.54346","0.9408001","0.80645156","919"
"420.43515","661.6623","0.92640007","0.7419355","936"
"418.28568","663.72577","0.9168","0.6774193","952"
"414.2313","665.80896","0.91200006","0.61290324","969"
"411.42886","666.6742","0.9024","0.61290324","986"
"402.80774","669.3195","0.8880001","0.61290324","1002"
"389.28122","672.5916","0.89280003","0.61290324","1019"
"370.2952","674.2857","0.92160004","0.61290324","1036"
"349.53046","674.2857","0.92640007","0.61290324","1052"
"331.47675","674.009","0.9312","0.61290324","1069"
"312.4993","671.9847","0.9024","0.61290324","1086"
"297.9107","669.1428","0.89280003","0.6774193","1098"
"285.279","666.25757","0.89280003","0.7419355","1119"
"258.1946","658.73004","0.9024","0.7419355","1136"
"231.595","650.3504","0.89280003","0.7419355","1152"
"205.70268","642.3128","0.8880001","0.6451613","1169"
"186.74121","636.88965","0.88320005","0.61290324","1185"
"168.21046","632.55054","0.88320005","0.61290324","1202"
"146.71597","627.60614","0.9024","0.61290324","1219"
"137.71208","626.294","0.90720004","0.61290324","1235"
"121.823","624.5714","0.89760005","0.61290324","1252"
"108.11258","624.5714","0.88320005","0.61290324","1269"
"102.82143","624.5714","0.768","0.61290324","1278"
