"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","lyle","nexus-80"
"360.0","281.0","lyle","nexus-80"
"178.0","102.0","lyle","nexus-80"
"649.0","664.0","lyle","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"680.5","593.7143","0.1632","0.32258064","0"
"671.5714","586.0","0.73440003","0.3548387","68"
"669.9853","584.4773","0.78720003","0.3548387","89"
"668.2428","582.80457","0.86880004","0.3548387","102"
"666.5576","581.18677","0.92160004","0.3548387","116"
"664.8189","579.5176","0.9552","0.3548387","129"
"662.50037","575.4408","0.984","0.41935483","149"
"660.84247","571.3864","0.99840003","0.54838705","166"
"656.81934","564.5331","1.0032","0.61290324","182"
"648.89276","556.5143","0.99840003","0.6451613","199"
"642.1072","550.0","0.97920007","0.61290324","210"
"630.3185","538.6829","0.94560003","0.61290324","232"
"606.0279","515.8791","0.93600005","0.6774193","249"
"581.1458","494.8368","0.9312","0.6774193","266"
"565.77295","480.14777","0.90720004","0.61290324","282"
"551.06696","464.31573","0.90720004","0.6774193","299"
"530.36273","442.49457","0.9024","0.61290324","316"
"508.13477","415.86432","0.89760005","0.6451613","332"
"480.94647","389.28577","0.78720003","0.6451613","349"
"460.62012","368.14813","0.72480005","0.61290324","366"
"450.7555","357.7041","0.79200006","0.6774193","382"
"422.45215","330.82983","0.80640006","0.6451613","399"
"404.90012","312.64453","0.7296","0.6774193","416"
"370.28314","280.47754","0.6528","0.6451613","432"
"354.5211","266.4685","0.5952","0.61290324","449"
"322.4552","239.95172","0.55200005","0.58064514","466"
"297.93524","217.02356","0.49920002","0.516129","482"
"278.63455","199.95972","0.48000002","0.48387095","499"
"264.82413","188.02747","0.47040004","0.48387095","516"
"242.86435","164.3754","0.48000002","0.48387095","532"
"224.95645","145.8952","0.47040004","0.4516129","549"
"221.16766","143.74707","0.48960003","0.48387095","565"
"214.17621","133.9627","0.48960003","0.48387095","582"
"199.24472","112.84958","0.47040004","0.48387095","599"
"192.06383","105.10129","0.4656","0.48387095","615"
"186.34473","99.61093","0.4656","0.48387095","632"
"182.73215","96.14288","0.47040004","0.48387095","648"
"179.6454","94.03671","0.47520003","0.48387095","665"
"177.23854","91.726135","0.47520003","0.48387095","682"
"174.61168","89.88791","0.48000002","0.48387095","699"
"172.99496","89.714294","0.69600004","0.48387095","715"
"173.35715","90.57144","0.6096","0.516129","734"
"180.87274","102.21527","0.68160003","0.58064514","782"
"197.82173","121.85751","0.7056","0.58064514","799"
"215.2905","142.33127","0.67200005","0.6451613","815"
"237.90393","168.59207","0.72480005","0.61290324","832"
"264.81796","197.6112","0.7968","0.6451613","849"
"302.94614","243.29382","0.84480006","0.6451613","865"
"341.16458","285.34772","0.85920006","0.61290324","882"
"375.37668","323.70404","0.88320005","0.61290324","899"
"404.82895","357.25464","0.9024","0.7096774","915"
"430.5","388.0","0.92160004","0.6451613","930"
"449.5863","408.96344","0.92640007","0.7096774","949"
"478.29016","443.6339","0.92640007","0.7096774","965"
"504.2456","474.05164","0.9312","0.7096774","982"
"524.2577","500.062","0.92160004","0.6451613","999"
"544.3163","527.8955","0.90720004","0.7096774","1015"
"564.8843","556.34625","0.90720004","0.6451613","1032"
"597.1594","592.54504","0.79200006","0.58064514","1049"
"614.1121","612.1808","0.85440004","0.6451613","1065"
"619.0816","618.82513","0.86880004","0.7096774","1082"
"629.9714","636.3821","0.768","0.6451613","1099"
"632.2857","641.7143","0.58080006","0.58064514","1102"
