"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","maggie","nexus-79"
"516.0","278.0","maggie","nexus-79"
"191.0","503.0","maggie","nexus-79"
"627.0","704.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"476.92856","566.2857","0.20160002","0.41935483","0"
"475.14285","553.4286","0.3312","0.41935483","40"
"478.79013","535.58405","0.3312","0.41935483","59"
"495.24896","468.80585","0.384","0.41935483","77"
"507.33716","411.03766","0.3984","0.41935483","94"
"518.7817","360.20514","0.3984","0.41935483","110"
"524.69196","328.88293","0.40800002","0.41935483","126"
"526.52686","311.8423","0.39360002","0.41935483","143"
"526.9286","302.37775","0.37440002","0.41935483","159"
"525.58923","298.4286","0.384","0.41935483","170"
"523.0855","297.14288","0.40320003","0.41935483","192"
"508.7981","298.79773","0.42240003","0.41935483","209"
"462.33838","314.77832","0.44640002","0.4516129","226"
"398.09436","343.97156","0.44640002","0.4516129","242"
"341.6632","376.04614","0.4656","0.4516129","259"
"283.3383","412.75494","0.48960003","0.4516129","276"
"242.76251","442.75958","0.4848","0.4516129","293"
"223.21136","458.53064","0.47520003","0.4516129","309"
"207.52158","474.55524","0.4848","0.4516129","326"
"199.79375","488.21057","0.48000002","0.4516129","343"
"201.63037","500.9273","0.46080002","0.4516129","359"
"225.3605","527.06616","0.47040004","0.4516129","376"
"274.39035","562.3466","0.47520003","0.4516129","393"
"337.93542","596.55176","0.49440002","0.4516129","410"
"420.87903","637.19763","0.38880002","0.4516129","426"
"504.51538","677.52893","0.3312","0.4516129","443"
"554.6071","700.0","0.2544","0.38709676","446"
