"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","maggie","nexus-79"
"360.0","281.0","maggie","nexus-79"
"178.0","102.0","maggie","nexus-79"
"649.0","664.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"672.4643","548.2857","0.17760001","0.41935483","0"
"657.1274","540.4701","0.4128","0.41935483","36"
"634.68036","524.05505","0.45600003","0.41935483","52"
"577.02606","477.5744","0.4656","0.41935483","73"
"545.5982","452.03564","0.47520003","0.41935483","90"
"494.12347","411.8294","0.49440002","0.41935483","107"
"398.43182","329.58734","0.49920002","0.41935483","123"
"348.26883","289.31757","0.504","0.41935483","140"
"299.25726","249.38266","0.49920002","0.41935483","157"
"257.53818","217.51309","0.504","0.41935483","174"
"227.3223","197.5982","0.49440002","0.41935483","190"
"213.51593","191.021","0.49920002","0.41935483","207"
"210.54239","189.61356","0.504","0.41935483","224"
"208.17857","191.16962","0.52320004","0.41935483","241"
"211.88826","199.69406","0.53760004","0.41935483","258"
"245.89444","242.38422","0.53760004","0.41935483","274"
"296.50885","301.66748","0.55200005","0.41935483","290"
"359.14987","369.47723","0.5568","0.41935483","307"
"439.04764","452.3523","0.55200005","0.41935483","324"
"478.7143","494.71436","0.5472","0.41935483","335"
"523.6705","540.7534","0.5616","0.41935483","357"
"612.622","631.22345","0.5088","0.41935483","374"
"615.3214","634.0","0.40800002","0.41935483","375"
