"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","maggie","nexus-79"
"647.0","813.0","maggie","nexus-79"
"604.0","604.0","maggie","nexus-79"
"634.0","306.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"379.60715","683.7143","0.24000001","0.41935483","0"
"423.0401","703.7304","0.45600003","0.41935483","58"
"463.08926","717.5714","0.48000002","0.41935483","73"
"514.32227","736.37537","0.44640002","0.41935483","93"
"581.2184","757.6355","0.3456","0.41935483","109"
"631.4017","771.3782","0.32160002","0.41935483","126"
"671.6958","776.2857","0.2736","0.41935483","143"
"687.496","774.0853","0.2592","0.41935483","160"
"695.00006","769.22284","0.2544","0.41935483","176"
"699.25","754.8571","0.24960001","0.41935483","192"
"697.6495","739.5235","0.264","0.41935483","210"
"682.5874","678.1606","0.30240002","0.41935483","227"
"666.30566","623.3455","0.33600003","0.41935483","243"
"650.7473","570.32117","0.384","0.41935483","260"
"638.69867","519.8283","0.4128","0.41935483","277"
"635.8571","467.1488","0.43680003","0.41935483","294"
"646.4315","413.39447","0.4176","0.41935483","310"
"660.6676","379.86664","0.38880002","0.41935483","327"
"661.75","377.7143","0.30240002","0.38709676","328"
