"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","maggie","nexus-79"
"274.0","724.0","maggie","nexus-79"
"356.0","105.0","maggie","nexus-79"
"454.0","391.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"251.0357","598.8572","0.17760001","0.41935483","0"
"251.5405","609.85156","0.38880002","0.41935483","52"
"255.2102","633.0488","0.3984","0.41935483","67"
"258.17856","660.27264","0.35040003","0.41935483","84"
"258.17856","678.0656","0.3264","0.41935483","101"
"258.17856","688.49567","0.3264","0.41935483","118"
"258.17856","691.8572","0.312","0.41935483","133"
"259.2227","688.5667","0.3456","0.41935483","151"
"262.15192","682.3211","0.36","0.41935483","168"
"282.29764","622.2193","0.3456","0.41935483","185"
"301.25912","554.90106","0.36","0.41935483","201"
"318.74286","479.62512","0.37440002","0.41935483","218"
"327.02164","415.07666","0.4176","0.41935483","235"
"332.71735","353.49872","0.432","0.41935483","252"
"336.8353","296.85358","0.45600003","0.41935483","268"
"338.0893","262.0","0.45600003","0.41935483","281"
"340.3055","220.61945","0.47040004","0.41935483","302"
"343.69208","185.26306","0.46080002","0.41935483","319"
"345.93182","168.5776","0.4656","0.41935483","335"
"349.30173","158.1864","0.45600003","0.41935483","352"
"353.63947","152.35754","0.4656","0.41935483","369"
"357.12186","151.7785","0.47040004","0.41935483","385"
"361.9404","157.16177","0.47520003","0.41935483","402"
"367.96188","165.9451","0.48000002","0.41935483","419"
"393.29922","217.59506","0.432","0.41935483","436"
"420.32156","276.14325","0.3648","0.41935483","452"
"444.63556","325.6402","0.3264","0.41935483","469"
"459.0714","349.4286","0.2544","0.41935483","478"
