"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","maggie","nexus-79"
"647.0","813.0","maggie","nexus-79"
"604.0","604.0","maggie","nexus-79"
"634.0","306.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"357.2857","713.7143","0.23040001","0.41935483","0"
"376.6544","719.6391","0.4848","0.4516129","50"
"419.5988","729.9841","0.51360005","0.4516129","65"
"476.38586","747.25494","0.47520003","0.4516129","82"
"531.8959","763.0311","0.44640002","0.4516129","99"
"558.04755","770.249","0.42240003","0.4516129","115"
"610.4819","785.1711","0.38880002","0.4516129","132"
"643.68695","792.52747","0.3648","0.4516129","149"
"654.2723","793.4286","0.36","0.4516129","166"
"659.138","790.7933","0.34080002","0.4516129","182"
"659.9643","784.7293","0.33600003","0.4516129","199"
"656.04236","765.7637","0.3456","0.4516129","216"
"650.31134","747.88275","0.35040003","0.4516129","233"
"641.8591","720.9616","0.40800002","0.4516129","249"
"625.72327","669.80743","0.42240003","0.4516129","266"
"612.97455","625.5798","0.40800002","0.4516129","283"
"604.153","598.61694","0.4176","0.4516129","300"
"597.5744","555.3956","0.42240003","0.4516129","316"
"599.5078","522.5244","0.43680003","0.4516129","333"
"608.62494","477.14288","0.44640002","0.4516129","347"
"618.13873","444.93384","0.46080002","0.4516129","366"
"641.2143","380.71436","0.37440002","0.4516129","383"
