"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","lou","nexus-80"
"274.0","724.0","lou","nexus-80"
"356.0","105.0","lou","nexus-80"
"454.0","391.0","lou","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"276.0357","697.4286","0.20160002","0.41935483","0"
"276.3839","686.6629","0.6096","0.41935483","111"
"278.22226","677.11975","0.63360006","0.41935483","125"
"278.9607","670.67896","0.648","0.41935483","139"
"280.74","650.1294","0.6624","0.41935483","154"
"283.46097","612.2919","0.6912","0.41935483","168"
"285.0407","576.4015","0.72480005","0.41935483","187"
"287.16446","536.1036","0.7296","0.41935483","203"
"289.2761","498.76013","0.7296","0.41935483","220"
"291.33627","462.4496","0.73440003","0.48387095","237"
"294.3393","431.28577","0.73440003","0.516129","253"
"295.3874","416.77057","0.73920006","0.54838705","270"
"303.1534","372.56464","0.73440003","0.61290324","287"
"312.46625","324.64673","0.73440003","0.61290324","303"
"318.5481","287.2942","0.7296","0.61290324","320"
"322.78818","259.82352","0.73920006","0.61290324","337"
"327.46082","235.09906","0.75360006","0.61290324","353"
"332.06497","211.73694","0.7584","0.61290324","370"
"333.625","200.2857","0.76320004","0.61290324","383"
"335.30176","187.40839","0.76320004","0.61290324","403"
"338.314","169.20422","0.75360006","0.61290324","420"
"340.27087","156.86255","0.744","0.61290324","436"
"342.39404","146.62292","0.75360006","0.61290324","453"
"343.5055","137.00223","0.7584","0.61290324","470"
"343.89285","129.4924","0.768","0.6774193","486"
"343.89285","125.97452","0.7728","0.7419355","503"
"343.89285","123.14285","0.77760005","0.7419355","515"
"344.3729","122.285706","0.7824","0.7419355","536"
"346.4659","123.041565","0.7728","0.7096774","553"
"348.5784","128.0658","0.7584","0.7419355","570"
"352.09338","138.69666","0.744","0.7096774","586"
"361.41074","165.02289","0.7296","0.7096774","603"
"375.31177","205.91507","0.71040004","0.61290324","620"
"387.9734","250.20062","0.71040004","0.61290324","636"
"393.38113","267.9949","0.71040004","0.61290324","653"
"408.6898","311.3376","0.67200005","0.6451613","670"
"427.7398","358.2229","0.63360006","0.61290324","686"
"445.10376","398.75842","0.57600003","0.61290324","703"
"459.08032","425.3902","0.37440002","0.54838705","720"
"460.85715","429.14288","0.28800002","0.516129","722"
