"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","lou","nexus-59"
"647.0","813.0","lou","nexus-59"
"604.0","604.0","lou","nexus-59"
"634.0","306.0","lou","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"359.9643","709.1429","0.15840001","0.41935483","0"
"381.3499","716.4183","0.52320004","0.54838705","118"
"401.50418","724.7444","0.504","0.54838705","133"
"428.24707","732.60925","0.45600003","0.516129","147"
"443.0","736.5715","0.432","0.516129","155"
"487.1488","751.5536","0.40800002","0.516129","177"
"538.5244","767.9964","0.35040003","0.516129","195"
"565.9073","775.99664","0.2976","0.516129","212"
"596.381","784.64166","0.28800002","0.516129","229"
"625.2834","791.03375","0.23040001","0.516129","246"
"633.5275","793.22656","0.21120001","0.48387095","263"
"642.1071","795.28577","0.23040001","0.48387095","278"
"646.25433","794.8572","0.24960001","0.48387095","296"
"650.9348","793.6199","0.2928","0.48387095","313"
"653.5878","791.55","0.2976","0.48387095","330"
"655.8744","786.9218","0.28320003","0.48387095","347"
"658.0121","780.7652","0.28320003","0.48387095","364"
"660.2642","770.8437","0.28800002","0.48387095","381"
"661.75","755.4749","0.28800002","0.48387095","398"
"661.75","746.1441","0.28800002","0.48387095","415"
"659.79865","715.0667","0.2976","0.48387095","432"
"655.84204","676.1342","0.32160002","0.516129","449"
"653.3977","655.2831","0.3312","0.48387095","465"
"650.321","641.2555","0.36","0.48387095","482"
"645.8183","620.7378","0.39360002","0.48387095","499"
"643.0","605.13873","0.45600003","0.48387095","516"
"641.66064","596.4285","0.48000002","0.48387095","533"
"640.3174","588.2624","0.504","0.48387095","550"
"639.4286","562.6922","0.5328","0.48387095","567"
"639.4286","535.02686","0.5424","0.48387095","584"
"640.6488","503.05762","0.56640005","0.48387095","601"
"644.6062","465.60657","0.56640005","0.48387095","618"
"653.6173","413.03687","0.56640005","0.48387095","634"
"665.29034","359.4123","0.57600003","0.48387095","651"
"673.46313","328.43317","0.59040004","0.48387095","668"
"691.1252","276.86978","0.5472","0.516129","687"
"722.1113","217.06305","0.37440002","0.48387095","705"
"723.3571","214.57144","0.28320003","0.4516129","705"
