"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","maggie","nexus-59"
"360.0","281.0","maggie","nexus-59"
"178.0","102.0","maggie","nexus-59"
"649.0","664.0","maggie","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"636.75","550.5714","0.192","0.41935483","0"
"623.73315","545.6692","0.38880002","0.41935483","39"
"611.21936","534.58716","0.432","0.41935483","50"
"585.90375","509.47327","0.44640002","0.41935483","63"
"554.3112","482.0287","0.4848","0.41935483","81"
"510.87848","444.6347","0.5184","0.41935483","98"
"432.75342","382.34937","0.5328","0.4516129","115"
"379.63437","338.3075","0.53760004","0.4516129","132"
"332.16504","294.12122","0.5568","0.4516129","149"
"291.839","251.61478","0.5328","0.4516129","166"
"255.10785","210.17679","0.5472","0.4516129","183"
"229.70374","183.80704","0.5184","0.48387095","199"
"224.87091","178.31036","0.52320004","0.48387095","216"
"218.89917","173.43161","0.52320004","0.516129","233"
"218.3988","174.66855","0.53760004","0.516129","250"
"223.77702","182.17606","0.5472","0.54838705","267"
"254.64182","223.95358","0.55200005","0.54838705","284"
"298.76422","279.84943","0.5616","0.54838705","301"
"352.35507","344.20905","0.5712","0.54838705","318"
"391.4786","384.58325","0.5568","0.54838705","335"
"464.23087","458.01154","0.5616","0.54838705","352"
"547.65643","546.95654","0.5424","0.54838705","369"
"586.07574","589.6064","0.5184","0.54838705","386"
"620.996","631.3333","0.42240003","0.54838705","402"
"639.4286","656.0","0.2736","0.48387095","414"
