"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","maggie","nexus-59"
"516.0","278.0","maggie","nexus-59"
"191.0","503.0","maggie","nexus-59"
"627.0","704.0","maggie","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"468.0","548.0","0.15840001","0.2580645","0"
"463.64386","527.168","0.33600003","0.3548387","47"
"474.35956","479.4627","0.35040003","0.3548387","61"
"486.73962","431.22046","0.3984","0.3548387","76"
"505.40192","382.31384","0.46080002","0.3548387","93"
"517.34796","350.64514","0.4512","0.3548387","110"
"524.25","329.279","0.4656","0.3548387","127"
"523.4958","321.9806","0.4848","0.3548387","144"
"519.19727","319.71753","0.504","0.3548387","161"
"513.1324","320.4931","0.48000002","0.3548387","178"
"462.12946","340.32397","0.48960003","0.3548387","195"
"392.1843","373.2729","0.51360005","0.3548387","212"
"331.28677","406.97546","0.52320004","0.3548387","228"
"279.95782","435.88116","0.53760004","0.3548387","245"
"236.67749","463.18927","0.52320004","0.38709676","262"
"220.93246","474.3683","0.5328","0.38709676","279"
"215.58644","479.1742","0.5328","0.38709676","296"
"213.86894","485.53113","0.5568","0.38709676","313"
"219.56332","493.25067","0.55200005","0.38709676","330"
"256.9302","517.08154","0.528","0.38709676","347"
"308.41925","542.3944","0.55200005","0.38709676","364"
"368.07993","571.1813","0.5424","0.4516129","381"
"433.40665","599.2016","0.528","0.4516129","398"
"484.0714","620.4286","0.47520003","0.4516129","410"
"527.21387","641.3166","0.4512","0.4516129","431"
"575.38666","669.0086","0.38880002","0.4516129","448"
"592.2882","683.68933","0.3648","0.4516129","465"
"598.60596","696.38416","0.2544","0.41935483","482"
"599.25","698.8572","0.192","0.38709676","486"
