"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","lou","nexus-79"
"340.0","367.0","lou","nexus-79"
"439.0","650.0","lou","nexus-79"
"106.0","619.0","lou","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"518.8928","646.0","0.24960001","0.41935483","0"
"509.9643","642.5714","0.5424","0.41935483","45"
"506.1463","639.7633","0.5424","0.41935483","68"
"494.43158","624.6495","0.5472","0.41935483","84"
"481.91217","606.06934","0.6","0.41935483","101"
"461.56268","579.47455","0.6","0.48387095","122"
"437.5903","545.65125","0.6096","0.48387095","138"
"420.51108","520.58154","0.648","0.48387095","155"
"402.8214","491.2857","0.6528","0.48387095","172"
"395.26907","479.16284","0.65760005","0.516129","189"
"372.74133","440.93585","0.67200005","0.54838705","205"
"368.4088","432.61542","0.68640006","0.54838705","222"
"356.25397","411.1175","0.71040004","0.54838705","239"
"349.85858","400.40234","0.74880004","0.54838705","255"
"345.63568","392.65253","0.7584","0.54838705","272"
"341.31665","387.24115","0.768","0.54838705","289"
"339.87497","384.5714","0.7728","0.54838705","299"
"338.06393","382.40424","0.7728","0.54838705","322"
"336.3036","380.71436","0.80640006","0.54838705","337"
"337.11603","383.55994","0.8112","0.54838705","356"
"339.28152","390.00677","0.7968","0.58064514","373"
"346.77094","409.12933","0.768","0.61290324","389"
"361.30997","441.53882","0.7584","0.61290324","406"
"381.8609","483.2967","0.744","0.61290324","423"
"386.2862","494.4995","0.72480005","0.6451613","439"
"401.96097","531.5542","0.69600004","0.6451613","456"
"418.08875","566.833","0.70080006","0.6774193","473"
"426.06656","585.5076","0.70080006","0.61290324","490"
"429.6833","599.2957","0.73440003","0.61290324","506"
"431.83447","611.2627","0.744","0.61290324","523"
"433.98163","619.9409","0.75360006","0.61290324","540"
"434.0714","624.14294","0.75360006","0.61290324","551"
"434.0714","629.25","0.74880004","0.61290324","573"
"433.22897","633.9032","0.744","0.6451613","590"
"431.05048","638.086","0.73920006","0.6774193","607"
"427.21484","641.5769","0.72480005","0.6774193","623"
"421.69028","644.5334","0.744","0.61290324","640"
"412.70206","646.6744","0.7584","0.6451613","657"
"395.8968","648.7386","0.77760005","0.6774193","674"
"384.1548","650.93274","0.78720003","0.6451613","690"
"344.77774","655.08636","0.80160004","0.6451613","707"
"305.89038","657.1429","0.78720003","0.6451613","724"
"274.36282","657.1429","0.81600004","0.6451613","740"
"242.96774","656.09985","0.7824","0.6774193","757"
"213.56844","654.0464","0.79200006","0.61290324","774"
"185.68982","649.17413","0.7296","0.7096774","791"
"169.37476","645.1132","0.6912","0.6774193","807"
"150.3329","640.2835","0.6","0.61290324","824"
"111.30357","621.5714","0.26880002","0.4516129","840"
