"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","tim","nexus-59"
"340.0","367.0","tim","nexus-59"
"439.0","650.0","tim","nexus-59"
"106.0","619.0","tim","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"551.0357","683.4286","0.115200005","0.41935483","0"
"540.5379","673.35065","0.26880002","0.41935483","94"
"537.51215","669.5261","0.2784","0.38709676","109"
"533.2459","663.8435","0.30240002","0.38709676","123"
"523.7855","648.3254","0.3072","0.38709676","138"
"515.7496","635.5422","0.312","0.38709676","152"
"506.669","623.2854","0.31680003","0.38709676","170"
"496.34595","608.51086","0.384","0.38709676","187"
"487.79004","593.402","0.384","0.38709676","204"
"477.30582","575.2958","0.384","0.38709676","221"
"462.08368","545.2922","0.432","0.38709676","238"
"448.96915","523.2649","0.3984","0.38709676","254"
"437.2288","505.2721","0.40320003","0.38709676","271"
"426.00403","487.0871","0.42240003","0.38709676","288"
"414.53122","465.0542","0.4176","0.38709676","305"
"404.7188","446.21436","0.432","0.38709676","322"
"399.423","435.2226","0.4512","0.38709676","339"
"388.74133","411.80573","0.4128","0.38709676","356"
"378.7128","392.64044","0.42240003","0.38709676","373"
"370.95096","378.61017","0.43680003","0.38709676","390"
"364.53098","365.3067","0.42720002","0.38709676","407"
"360.03262","355.3069","0.4128","0.38709676","424"
"355.84314","348.35132","0.4176","0.38709676","440"
"351.92853","342.7143","0.432","0.38709676","456"
"350.2087","339.84076","0.432","0.38709676","474"
"348.10022","336.03906","0.44160002","0.38709676","491"
"346.01154","334.03394","0.44160002","0.38709676","508"
"344.02835","332.13007","0.432","0.38709676","525"
"341.9486","331.14288","0.432","0.38709676","542"
"340.76788","331.14288","0.43680003","0.38709676","552"
"341.2143","332.8222","0.45600003","0.38709676","576"
"341.2143","335.64227","0.47520003","0.38709676","593"
"341.2143","339.41064","0.47040004","0.38709676","609"
"342.0223","347.87854","0.46080002","0.38709676","626"
"344.12134","358.17328","0.47040004","0.38709676","643"
"347.74942","372.23175","0.4656","0.38709676","660"
"352.7302","388.3379","0.4512","0.38709676","677"
"359.1884","406.0512","0.47040004","0.38709676","694"
"367.20282","428.46686","0.4848","0.38709676","711"
"370.64877","437.35236","0.48960003","0.38709676","728"
"377.97458","458.3676","0.5088","0.38709676","745"
"390.58643","486.5025","0.49440002","0.38709676","762"
"399.62286","505.00165","0.47040004","0.38709676","779"
"408.18488","523.1575","0.49440002","0.38709676","795"
"419.90622","546.02594","0.48000002","0.38709676","812"
"427.36884","561.70245","0.4656","0.38709676","829"
"434.68564","577.2866","0.49440002","0.38709676","846"
"437.74445","585.11725","0.51360005","0.38709676","863"
"444.0449","600.912","0.48960003","0.38709676","880"
"450.17532","613.4805","0.4656","0.38709676","897"
"454.5547","622.4707","0.44160002","0.38709676","914"
"456.76953","630.5134","0.44160002","0.38709676","931"
"458.83038","635.8229","0.44640002","0.38709676","948"
"459.96487","639.7154","0.45600003","0.38709676","965"
"459.9643","643.706","0.45600003","0.38709676","982"
"459.9643","645.3145","0.4512","0.38709676","999"
"459.9643","647.3943","0.4512","0.38709676","1016"
"459.64294","649.45135","0.45600003","0.38709676","1033"
"457.512","651.4971","0.45600003","0.38709676","1049"
"455.49933","653.42926","0.45600003","0.38709676","1066"
"452.17413","655.45355","0.44640002","0.38709676","1083"
"447.92908","656.8572","0.43680003","0.38709676","1100"
"443.4464","658.1428","0.432","0.38709676","1113"
"436.21732","658.84515","0.4512","0.38709676","1134"
"421.43024","660.2857","0.4512","0.38709676","1151"
"403.7689","661.0418","0.44160002","0.38709676","1168"
"386.3837","661.1429","0.44160002","0.38709676","1185"
"370.57233","661.1429","0.44640002","0.38709676","1202"
"351.06168","659.5756","0.432","0.38709676","1219"
"331.17416","657.53644","0.43680003","0.38709676","1235"
"322.4058","656.2369","0.43680003","0.38709676","1252"
"308.1078","654.59125","0.42240003","0.38709676","1269"
"283.44687","651.86597","0.42720002","0.38709676","1286"
"261.25415","648.99475","0.42240003","0.38709676","1303"
"238.40173","645.76044","0.4176","0.38709676","1320"
"220.01653","643.6084","0.42720002","0.38709676","1337"
"205.18475","641.521","0.42240003","0.38709676","1354"
"182.33243","638.1955","0.42720002","0.38709676","1371"
"168.44641","636.71436","0.44640002","0.38709676","1386"
"159.22409","637.0414","0.46080002","0.38709676","1405"
"143.7408","635.04034","0.45600003","0.38709676","1421"
"130.73314","631.5032","0.384","0.38709676","1438"
"120.020676","626.60455","0.1728","0.29032257","1455"
