"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","tim","nexus7"
"516.0","278.0","tim","nexus7"
"191.0","503.0","tim","nexus7"
"627.0","704.0","tim","nexus7"
"X","Y","PRESSURE"
"139.42857","769.1429","0.120000005"
