"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","maggie","nexus-80"
"340.0","367.0","maggie","nexus-80"
"439.0","650.0","maggie","nexus-80"
"106.0","619.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"521.5714","656.2857","0.124800004","0.2580645","0"
"510.294","648.9934","0.36960003","0.3548387","46"
"501.91602","636.4065","0.42720002","0.3548387","61"
"476.1058","596.76843","0.52320004","0.3548387","75"
"449.9149","545.0441","0.59040004","0.41935483","92"
"428.21393","491.4709","0.62880003","0.41935483","109"
"404.61514","436.01996","0.65760005","0.41935483","125"
"387.67297","397.06512","0.67200005","0.48387095","142"
"381.00888","386.36566","0.70080006","0.48387095","159"
"378.1582","383.18048","0.7152","0.48387095","175"
"376.09344","381.94458","0.73920006","0.48387095","192"
"375.14285","387.6801","0.73440003","0.54838705","209"
"378.4503","418.7776","0.73440003","0.54838705","225"
"393.14703","477.72766","0.73920006","0.54838705","242"
"405.43344","530.85535","0.744","0.58064514","259"
"417.69766","582.43634","0.744","0.58064514","275"
"426.4861","626.4527","0.7152","0.61290324","292"
"426.92856","635.2466","0.71040004","0.61290324","309"
"423.31503","650.6793","0.68640006","0.61290324","325"
"414.83487","659.4803","0.67200005","0.61290324","342"
"399.20392","662.2857","0.65760005","0.61290324","359"
"342.9135","654.0785","0.648","0.61290324","375"
"279.1792","637.6619","0.6624","0.61290324","392"
"217.00763","620.9931","0.65760005","0.61290324","409"
"174.69644","608.28577","0.67200005","0.61290324","421"
"136.98924","598.92816","0.67200005","0.61290324","442"
"95.63464","594.5714","0.63360006","0.61290324","459"
"86.75","593.7143","0.44640002","0.54838705","468"
