"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","maggie","nexus-80"
"253.0","458.0","maggie","nexus-80"
"617.0","205.0","maggie","nexus-80"
"461.0","346.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"178.71428","409.4286","0.26880002","0.41935483","0"
"203.15042","413.30182","0.528","0.41935483","90"
"223.88538","409.30176","0.5328","0.41935483","101"
"257.89078","396.41876","0.51360005","0.41935483","111"
"294.03912","378.21857","0.53760004","0.41935483","122"
"325.9707","357.66528","0.528","0.41935483","132"
"362.92056","331.65717","0.53760004","0.41935483","143"
"417.61603","291.65894","0.5184","0.41935483","164"
"484.99097","242.05225","0.5184","0.48387095","181"
"572.0343","185.5437","0.49440002","0.48387095","198"
"594.88416","175.96848","0.49920002","0.48387095","214"
"603.17993","174.57144","0.5088","0.48387095","231"
"604.6071","176.97336","0.5328","0.48387095","248"
"595.67126","187.74796","0.528","0.516129","264"
"563.9822","217.42859","0.52320004","0.516129","279"
"533.5328","242.15387","0.51360005","0.516129","298"
"459.6444","297.06116","0.5472","0.516129","314"
"416.38745","334.69092","0.51360005","0.516129","331"
"401.0357","346.0","0.3312","0.48387095","340"
