"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","maggie","nexus-79"
"340.0","367.0","maggie","nexus-79"
"439.0","650.0","maggie","nexus-79"
"106.0","619.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"504.60712","662.2857","0.21120001","0.41935483","0"
"495.6786","657.1429","0.44160002","0.41935483","40"
"489.25946","648.4831","0.45600003","0.41935483","52"
"477.43594","626.5002","0.4848","0.41935483","65"
"459.0714","586.4286","0.49920002","0.41935483","79"
"443.17987","553.31146","0.52320004","0.41935483","99"
"416.81876","500.58917","0.53760004","0.41935483","116"
"391.262","458.28278","0.5472","0.4516129","133"
"377.23953","440.4726","0.5712","0.4516129","149"
"370.5082","434.4624","0.6","0.4516129","166"
"365.64423","432.5714","0.6096","0.4516129","183"
"363.44095","435.32483","0.5856","0.4516129","199"
"362.1964","439.0","0.59040004","0.4516129","211"
"366.5476","457.63812","0.58080006","0.48387095","233"
"384.74384","510.25714","0.59040004","0.48387095","250"
"408.01334","561.6828","0.58080006","0.48387095","266"
"423.59995","593.85596","0.5952","0.48387095","283"
"433.7955","614.9092","0.5856","0.48387095","300"
"437.72028","628.3716","0.57600003","0.48387095","317"
"435.9971","634.7228","0.5472","0.48387095","333"
"432.05","637.11316","0.53760004","0.48387095","350"
"413.339","636.75085","0.52320004","0.48387095","367"
"337.1877","624.9272","0.5568","0.48387095","384"
"260.68036","612.38477","0.53760004","0.48387095","401"
"197.02525","603.0848","0.5472","0.516129","417"
"145.58853","598.54156","0.528","0.516129","434"
"109.11337","596.3418","0.46080002","0.516129","450"
"108.17857","596.2857","0.35040003","0.48387095","451"
