"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","maggie","nexus-79"
"274.0","724.0","maggie","nexus-79"
"356.0","105.0","maggie","nexus-79"
"454.0","391.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"271.5714","584.2857","0.19680001","0.41935483","0"
"271.5714","600.0","0.38880002","0.41935483","42"
"272.8644","612.3333","0.4128","0.41935483","51"
"274.97882","635.7751","0.432","0.41935483","62"
"276.0357","656.6061","0.40800002","0.41935483","80"
"276.0357","662.6475","0.3984","0.41935483","96"
"276.0357","660.8561","0.3648","0.41935483","113"
"277.25256","633.8623","0.3648","0.41935483","130"
"280.5","580.00006","0.3792","0.41935483","144"
"285.50137","536.9558","0.384","0.41935483","163"
"313.93982","373.75555","0.40800002","0.41935483","180"
"327.0021","293.99048","0.42720002","0.41935483","196"
"335.21106","239.94797","0.4512","0.41935483","213"
"343.0299","190.10385","0.4512","0.41935483","230"
"345.67856","172.46185","0.4848","0.41935483","246"
"347.88144","166.51294","0.49440002","0.41935483","263"
"349.10217","163.7124","0.49440002","0.41935483","280"
"352.02686","166.14154","0.48000002","0.4516129","296"
"364.8254","198.09528","0.47520003","0.4516129","313"
"388.27457","262.1051","0.46080002","0.4516129","330"
"411.86758","320.85394","0.37440002","0.4516129","347"
"438.71518","372.87628","0.312","0.4516129","363"
"450.14285","389.7143","0.2736","0.4516129","370"
