"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","lou","nexus-79"
"274.0","724.0","lou","nexus-79"
"356.0","105.0","lou","nexus-79"
"454.0","391.0","lou","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"290.3214","597.1429","0.21120001","0.41935483","0"
"281.5456","609.7067","0.60480005","0.41935483","74"
"279.26804","616.44507","0.6096","0.41935483","91"
"276.15717","630.16327","0.6","0.41935483","108"
"272.4159","646.1394","0.6","0.41935483","125"
"269.22845","657.40735","0.60480005","0.4516129","142"
"262.94653","679.33826","0.6096","0.48387095","158"
"256.57394","699.4784","0.62880003","0.48387095","175"
"253.86359","708.85535","0.6528","0.48387095","192"
"251.72018","715.1715","0.6528","0.48387095","209"
"251.0357","720.1462","0.6528","0.48387095","225"
"251.0357","723.1997","0.65760005","0.48387095","242"
"252.375","725.28577","0.6528","0.48387095","259"
"253.48697","724.8572","0.648","0.48387095","276"
"256.64972","720.20154","0.6624","0.48387095","292"
"261.40247","710.953","0.68160003","0.48387095","309"
"268.65393","691.31683","0.68640006","0.48387095","326"
"276.31686","663.8833","0.6912","0.48387095","342"
"283.6939","622.09766","0.70080006","0.48387095","359"
"288.3371","589.81177","0.72","0.516129","376"
"290.884","564.3136","0.72","0.516129","393"
"292.95667","534.5045","0.72","0.54838705","409"
"296.95184","479.0288","0.7296","0.61290324","426"
"299.1077","433.7259","0.7152","0.61290324","443"
"300.32776","404.3722","0.7296","0.61290324","460"
"303.90472","370.04047","0.7584","0.61290324","477"
"309.8131","327.8097","0.74880004","0.61290324","493"
"313.05484","301.42914","0.7584","0.61290324","510"
"315.12738","287.6394","0.768","0.61290324","526"
"320.65417","251.63455","0.768","0.61290324","543"
"327.28043","216.93451","0.79200006","0.61290324","560"
"332.85297","190.86206","0.80640006","0.61290324","579"
"336.01517","171.6435","0.7728","0.61290324","596"
"339.39545","155.84143","0.768","0.6451613","613"
"344.30817","138.46164","0.768","0.7096774","629"
"347.46426","127.85715","0.7728","0.7419355","641"
"349.50378","122.168335","0.7728","0.7419355","663"
"352.83145","117.56662","0.7824","0.7419355","679"
"356.40155","116.285706","0.82080007","0.7741935","696"
"358.45917","118.53879","0.7968","0.7419355","713"
"361.77557","124.48993","0.79200006","0.7419355","730"
"368.41696","143.94385","0.7824","0.6774193","746"
"379.8795","179.64145","0.7584","0.61290324","763"
"386.70074","201.50934","0.7584","0.61290324","780"
"393.03217","228.4884","0.7296","0.61290324","797"
"405.94968","276.79663","0.6624","0.6451613","813"
"416.9891","311.85956","0.62880003","0.61290324","830"
"424.05783","330.87512","0.5616","0.61290324","847"
"431.33725","350.9828","0.5088","0.61290324","863"
"439.06067","368.0476","0.4176","0.61290324","880"
"451.9286","390.14288","0.2544","0.516129","894"
"453.7143","392.2857","0.192","0.4516129","906"
