"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus-80"
"647.0","813.0","tim","nexus-80"
"604.0","604.0","tim","nexus-80"
"634.0","306.0","tim","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"347.4643","686.2857","0.10560001","0.19354838","0"
"359.15594","697.0406","0.28320003","0.19354838","176"
"366.9903","700.8011","0.28320003","0.19354838","190"
"376.44177","704.41565","0.28320003","0.19354838","205"
"390.00208","708.0662","0.2976","0.19354838","219"
"413.13086","716.4299","0.2736","0.19354838","247"
"439.82114","725.5542","0.2736","0.19354838","264"
"468.13614","733.67554","0.2544","0.19354838","281"
"492.50287","738.7511","0.2544","0.19354838","297"
"519.38116","746.25775","0.2544","0.22580644","314"
"539.48096","751.22687","0.24960001","0.22580644","331"
"551.03577","754.0","0.2592","0.22580644","341"
"575.0116","759.585","0.2544","0.22580644","364"
"600.6647","766.4028","0.24960001","0.22580644","381"
"617.8336","771.3899","0.24000001","0.22580644","397"
"635.0892","776.4767","0.23520002","0.22580644","414"
"651.6908","782.67773","0.24000001","0.22580644","431"
"663.38293","787.1984","0.24000001","0.22580644","447"
"672.91077","790.8572","0.24480002","0.22580644","462"
"677.8952","792.6068","0.24480002","0.22580644","481"
"687.51196","795.67236","0.2256","0.22580644","497"
"694.5119","798.8685","0.22080001","0.22580644","514"
"699.41187","801.22046","0.22080001","0.19354838","531"
"703.9177","803.3834","0.23040001","0.19354838","547"
"706.55164","803.71436","0.23040001","0.19354838","564"
"708.625","803.71436","0.2256","0.19354838","579"
"710.02954","803.71436","0.22080001","0.19354838","597"
"712.38605","803.71436","0.2256","0.19354838","614"
"714.6843","803.71436","0.22080001","0.19354838","631"
"716.8779","802.2201","0.2256","0.19354838","647"
"718.0","799.9603","0.23040001","0.19354838","664"
"718.0","796.09314","0.23040001","0.19354838","681"
"718.0","791.71423","0.23520002","0.19354838","697"
"718.0","789.44775","0.24000001","0.19354838","714"
"718.0","783.4253","0.216","0.19354838","729"
"715.5232","774.4892","0.2256","0.19354838","746"
"713.276","763.8963","0.216","0.19354838","762"
"710.9693","752.8243","0.2256","0.19354838","779"
"707.72394","742.8256","0.23040001","0.19354838","796"
"703.386","728.8969","0.24000001","0.19354838","812"
"700.43475","722.83795","0.24480002","0.19354838","829"
"694.0403","699.66205","0.24480002","0.19354838","846"
"688.50977","680.65204","0.2544","0.19354838","862"
"684.0589","669.1069","0.2544","0.22580644","879"
"678.82794","648.743","0.2592","0.22580644","896"
"673.97144","628.64453","0.24000001","0.22580644","912"
"669.4177","607.8805","0.2544","0.22580644","929"
"667.1653","595.73584","0.2592","0.22580644","946"
"663.55756","571.55457","0.26880002","0.22580644","962"
"658.9686","545.12225","0.24480002","0.22580644","979"
"655.75726","517.5739","0.24960001","0.22580644","996"
"653.37427","492.94012","0.264","0.22580644","1012"
"651.159","467.30176","0.264","0.22580644","1029"
"649.09503","450.08972","0.26880002","0.22580644","1046"
"648.3571","434.06757","0.264","0.22580644","1062"
"648.3571","411.6037","0.264","0.22580644","1079"
"648.3571","388.57123","0.2592","0.22580644","1096"
"647.3998","369.56653","0.2544","0.22580644","1112"
"647.4643","357.18292","0.24960001","0.22580644","1129"
"647.4643","344.8352","0.24960001","0.22580644","1146"
"647.4643","334.38184","0.216","0.22580644","1162"
"647.4643","325.4286","0.1536","0.22580644","1174"
"647.4643","323.7143","0.124800004","0.22580644","1185"
