"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","lyle","nexus-79"
"360.0","281.0","lyle","nexus-79"
"178.0","102.0","lyle","nexus-79"
"649.0","664.0","lyle","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"666.2143","562.8572","0.3648","0.41935483","0"
"654.1145","557.68475","0.6768","0.58064514","73"
"646.62164","551.7505","0.68640006","0.58064514","90"
"634.5992","540.2209","0.73920006","0.58064514","107"
"616.7375","520.9948","0.768","0.6451613","123"
"605.93854","510.13525","0.77760005","0.61290324","140"
"577.8685","478.05426","0.7824","0.6451613","157"
"550.56915","444.54565","0.78720003","0.6451613","174"
"533.0861","423.24622","0.78720003","0.61290324","190"
"505.6123","391.7967","0.79200006","0.6451613","207"
"478.7101","363.99597","0.7824","0.61290324","224"
"449.9287","338.10297","0.7824","0.61290324","240"
"410.85712","305.28577","0.76320004","0.6451613","257"
"394.60117","291.037","0.7584","0.6774193","274"
"356.2656","260.139","0.75360006","0.61290324","291"
"318.11475","228.47888","0.7584","0.61290324","308"
"292.4878","205.794","0.74880004","0.61290324","324"
"274.8666","188.87766","0.768","0.6774193","341"
"248.19357","160.78763","0.75360006","0.61290324","358"
"233.84149","145.18332","0.73920006","0.6451613","374"
"213.98878","124.57822","0.73920006","0.6774193","391"
"195.71667","105.7106","0.74880004","0.61290324","408"
"188.48221","99.81433","0.76320004","0.61290324","425"
"181.14352","96.08304","0.76320004","0.61290324","441"
"174.16478","96.16333","0.76320004","0.6451613","458"
"168.01234","97.63992","0.7584","0.7096774","475"
"163.54143","101.7088","0.75360006","0.6774193","491"
"160.3671","108.46185","0.73440003","0.61290324","508"
"160.52715","119.974915","0.75360006","0.61290324","525"
"167.009","141.74878","0.744","0.61290324","542"
"185.63069","176.01996","0.74880004","0.61290324","558"
"220.67856","226.42859","0.7728","0.61290324","576"
"244.73004","256.47742","0.77760005","0.61290324","594"
"308.4361","326.9356","0.78720003","0.6451613","610"
"352.98093","372.6167","0.7968","0.61290324","627"
"395.01303","414.1015","0.80160004","0.61290324","644"
"432.2","448.93042","0.8256","0.6774193","661"
"459.6558","477.84412","0.83040005","0.61290324","677"
"476.8959","499.3855","0.83040005","0.61290324","694"
"487.64282","514.8572","0.83040005","0.61290324","707"
"508.24457","548.72595","0.83040005","0.6451613","727"
"530.9289","589.35364","0.78720003","0.61290324","744"
"551.916","625.53033","0.72","0.61290324","761"
"569.8928","650.99426","0.6672","0.61290324","778"
"601.8245","676.0","0.5088","0.61290324","794"
"607.2857","676.0","0.384","0.54838705","798"
