"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","lyle","nexus-79"
"340.0","367.0","lyle","nexus-79"
"439.0","650.0","lyle","nexus-79"
"106.0","619.0","lyle","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"511.75","667.4286","0.35520002","0.41935483","0"
"500.9074","657.87683","0.7296","0.58064514","48"
"497.3399","652.67804","0.77760005","0.58064514","62"
"493.61768","645.4717","0.80160004","0.61290324","77"
"486.60907","629.0679","0.80640006","0.6774193","94"
"481.83936","616.8571","0.8112","0.61290324","106"
"472.73538","599.7078","0.81600004","0.61290324","127"
"455.53027","569.6247","0.81600004","0.6774193","144"
"441.85336","549.28467","0.83040005","0.61290324","161"
"427.25906","527.968","0.8112","0.61290324","178"
"411.03156","505.98016","0.82080007","0.61290324","194"
"394.81406","486.39117","0.8352","0.6451613","211"
"377.6516","464.81152","0.80640006","0.61290324","228"
"367.67358","451.64056","0.80640006","0.61290324","245"
"352.97757","431.83557","0.8256","0.61290324","261"
"332.66064","401.0902","0.84000003","0.6774193","278"
"320.6005","384.12372","0.85920006","0.61290324","295"
"313.94382","374.23663","0.864","0.61290324","311"
"308.3478","366.81512","0.85440004","0.61290324","328"
"304.30374","362.85162","0.8496","0.6774193","345"
"301.54367","360.2019","0.85440004","0.61290324","362"
"300.31403","359.7143","0.864","0.61290324","378"
"300.14285","360.5445","0.864","0.61290324","395"
"302.16235","365.53052","0.84000003","0.61290324","412"
"313.56937","380.22302","0.82080007","0.61290324","428"
"329.4352","404.00275","0.80160004","0.61290324","445"
"346.2753","432.57416","0.81600004","0.6451613","462"
"364.90903","466.9225","0.8352","0.61290324","479"
"378.09933","494.90826","0.8112","0.61290324","495"
"387.6163","513.09186","0.83040005","0.61290324","512"
"404.02945","552.61566","0.8496","0.6451613","529"
"417.26633","582.9917","0.88320005","0.61290324","546"
"423.25446","596.84705","0.864","0.6451613","562"
"427.84558","610.0696","0.8352","0.6451613","581"
"432.08844","622.28906","0.83040005","0.61290324","598"
"435.71185","632.585","0.83040005","0.61290324","614"
"437.1964","638.28564","0.8496","0.61290324","626"
"438.89917","644.8243","0.8496","0.61290324","648"
"439.42856","652.2628","0.8352","0.61290324","665"
"439.42856","658.3408","0.83040005","0.61290324","681"
"438.14063","662.18713","0.85920006","0.61290324","698"
"436.08594","666.13214","0.88320005","0.61290324","715"
"432.19565","668.3289","0.8880001","0.61290324","731"
"426.4395","670.1565","0.9024","0.61290324","748"
"418.15042","670.8572","0.89280003","0.61290324","765"
"398.76578","670.3256","0.8784","0.61290324","782"
"351.34784","666.24335","0.87360007","0.61290324","798"
"299.20975","662.2168","0.85920006","0.6774193","815"
"243.13892","657.6425","0.8496","0.7096774","832"
"191.22188","655.6689","0.864","0.7419355","849"
"142.8565","655.4286","0.85920006","0.7419355","865"
"115.79283","655.10913","0.83040005","0.7419355","882"
"101.998566","653.89246","0.8112","0.7096774","899"
"93.19231","652.0615","0.79200006","0.6451613","915"
"93.0","652.0","0.6624","0.6451613","916"
