"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","tim","nexus-59"
"360.0","281.0","tim","nexus-59"
"178.0","102.0","tim","nexus-59"
"649.0","664.0","tim","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"656.3928","561.7143","0.17760001","0.41935483","0"
"646.1862","560.8572","0.32160002","0.41935483","89"
"643.6704","559.46466","0.3072","0.41935483","104"
"640.5919","557.5585","0.2976","0.41935483","119"
"637.6428","556.1428","0.31680003","0.41935483","131"
"625.6771","545.08435","0.34080002","0.41935483","161"
"607.1547","526.2157","0.3648","0.41935483","178"
"589.2706","509.27698","0.36","0.41935483","195"
"566.1551","487.94318","0.39360002","0.41935483","212"
"546.7649","467.92065","0.38880002","0.41935483","229"
"527.3964","448.11804","0.37440002","0.38709676","245"
"514.4285","435.7143","0.39360002","0.38709676","258"
"490.0349","413.1535","0.3984","0.38709676","279"
"460.72748","384.16125","0.42240003","0.38709676","296"
"435.2745","359.72638","0.42240003","0.38709676","313"
"416.36108","340.53333","0.42720002","0.38709676","330"
"398.05542","320.5675","0.432","0.38709676","347"
"377.87634","298.85162","0.4128","0.38709676","364"
"362.12042","279.45328","0.4512","0.38709676","381"
"352.86975","267.24237","0.44640002","0.38709676","398"
"334.01508","245.1922","0.43680003","0.38709676","414"
"311.60696","211.06915","0.4656","0.38709676","431"
"298.0629","191.26993","0.44160002","0.38709676","448"
"285.63925","175.19284","0.43680003","0.38709676","465"
"274.1082","158.66266","0.42720002","0.38709676","482"
"262.1386","143.26517","0.4176","0.38709676","499"
"254.91434","133.94006","0.4128","0.38709676","516"
"249.96237","127.99771","0.384","0.38709676","533"
"244.48889","122.572205","0.38880002","0.38709676","550"
"238.79257","117.87869","0.39360002","0.38709676","567"
"234.94672","114.26883","0.40800002","0.38709676","583"
"230.83746","112.30484","0.40800002","0.38709676","600"
"228.91672","110.52576","0.4128","0.38709676","617"
"226.3826","109.14285","0.4128","0.38709676","634"
"224.49106","109.14285","0.4128","0.38709676","651"
"222.91072","109.14285","0.4128","0.38709676","665"
"221.47057","110.09683","0.42720002","0.38709676","685"
"221.57143","113.27057","0.44160002","0.38709676","702"
"223.85066","119.609406","0.432","0.38709676","719"
"227.47281","128.02051","0.4128","0.38709676","736"
"235.5582","142.74054","0.40800002","0.38709676","753"
"250.05853","165.99448","0.4128","0.38709676","770"
"262.2476","183.78448","0.432","0.38709676","787"
"274.6964","204.7143","0.45600003","0.38709676","803"
"287.2316","220.33075","0.44160002","0.38709676","821"
"315.80307","262.93848","0.47520003","0.38709676","838"
"332.33582","289.096","0.4512","0.38709676","855"
"354.15967","319.76776","0.46080002","0.38709676","871"
"374.11716","346.12616","0.4512","0.38709676","888"
"391.79858","368.4328","0.46080002","0.38709676","905"
"409.23483","389.10858","0.44160002","0.38709676","922"
"420.27316","402.22778","0.4512","0.38709676","939"
"436.23383","422.09106","0.48960003","0.38709676","956"
"459.01523","447.86786","0.45600003","0.38709676","973"
"473.2254","465.096","0.46080002","0.38709676","990"
"481.70178","476.4449","0.47520003","0.38709676","1007"
"492.9309","490.65002","0.4656","0.38709676","1024"
"503.68445","503.39423","0.43680003","0.38709676","1041"
"516.21423","515.4286","0.42720002","0.38709676","1057"
"522.4523","520.84753","0.432","0.38709676","1075"
"534.6393","532.25946","0.47040004","0.38709676","1091"
"549.3685","545.771","0.46080002","0.38709676","1108"
"566.9278","563.2564","0.4128","0.38709676","1125"
"580.9577","577.32733","0.4176","0.38709676","1142"
"594.25397","592.2616","0.45600003","0.38709676","1159"
"607.18164","607.04297","0.42720002","0.38709676","1176"
"617.1429","617.36005","0.4176","0.38709676","1193"
"630.8498","633.49115","0.42720002","0.38709676","1210"
"646.231","652.6282","0.44160002","0.38709676","1227"
"655.3227","664.8592","0.42240003","0.38709676","1244"
"662.8384","675.04486","0.40320003","0.38709676","1261"
"668.508","682.4458","0.38880002","0.38709676","1278"
"673.7265","688.67474","0.36960003","0.38709676","1295"
"676.9286","693.2857","0.34080002","0.38709676","1307"
"680.48627","697.1297","0.2256","0.3548387","1328"
