"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","maggie","nexus-79"
"340.0","367.0","maggie","nexus-79"
"439.0","650.0","maggie","nexus-79"
"106.0","619.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"524.25","654.5714","0.23520002","0.41935483","0"
"508.48816","631.938","0.44160002","0.41935483","58"
"487.72113","599.63776","0.46080002","0.41935483","73"
"473.21805","577.0255","0.46080002","0.41935483","90"
"431.86298","520.95215","0.4848","0.41935483","106"
"389.2026","474.06097","0.49920002","0.4516129","123"
"361.11932","447.04163","0.51360005","0.4516129","140"
"351.01392","440.27527","0.5568","0.4516129","157"
"345.87592","437.7143","0.56640005","0.48387095","173"
"343.2266","440.4903","0.58080006","0.48387095","190"
"343.0","446.28564","0.58080006","0.48387095","203"
"349.57526","467.79382","0.5568","0.48387095","224"
"378.3998","539.62756","0.58080006","0.48387095","240"
"403.31693","591.47943","0.5712","0.516129","257"
"417.86734","630.9192","0.5616","0.516129","274"
"419.7857","647.4693","0.5568","0.516129","290"
"414.45047","658.5434","0.5424","0.516129","307"
"398.61877","667.1567","0.5184","0.516129","324"
"373.5722","668.2857","0.52320004","0.516129","341"
"277.55826","655.4745","0.504","0.516129","357"
"188.0693","639.28284","0.5328","0.516129","374"
"120.53374","629.3271","0.53760004","0.516129","391"
"76.035706","624.1429","0.48000002","0.516129","405"
