"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","maggie","nexus-79"
"360.0","281.0","maggie","nexus-79"
"178.0","102.0","maggie","nexus-79"
"649.0","664.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"621.5714","509.7143","0.2064","0.41935483","0"
"589.5931","480.72937","0.35520002","0.41935483","37"
"527.716","422.84772","0.3984","0.41935483","53"
"466.50183","367.08252","0.4656","0.41935483","71"
"407.43234","308.68567","0.47520003","0.41935483","88"
"352.66693","254.95428","0.504","0.48387095","105"
"301.04715","213.54144","0.51360005","0.48387095","122"
"260.80182","185.19562","0.51360005","0.48387095","138"
"249.62885","178.22733","0.5088","0.48387095","155"
"241.99585","176.2857","0.49920002","0.48387095","172"
"241.2732","179.02673","0.5184","0.48387095","188"
"252.94446","198.52448","0.51360005","0.48387095","205"
"304.70978","260.2325","0.5184","0.54838705","223"
"390.9105","343.14166","0.5184","0.54838705","240"
"485.38763","422.09064","0.49440002","0.54838705","256"
"542.5536","470.71436","0.46080002","0.54838705","271"
"625.60345","539.4186","0.432","0.54838705","290"
"786.75","682.8572","0.23520002","0.41935483","304"
