"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","maggie","nexus-79"
"253.0","458.0","maggie","nexus-79"
"617.0","205.0","maggie","nexus-79"
"461.0","346.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"161.75","375.14288","0.24480002","0.41935483","0"
"182.36139","391.31897","0.504","0.41935483","66"
"203.34453","400.02264","0.48960003","0.41935483","79"
"228.63287","404.73767","0.4848","0.41935483","92"
"264.56995","403.21527","0.4848","0.41935483","106"
"303.85666","393.43652","0.4848","0.41935483","119"
"362.15985","366.77826","0.49920002","0.41935483","137"
"417.5536","335.28577","0.504","0.41935483","153"
"443.6184","320.73444","0.504","0.41935483","170"
"516.8513","277.82776","0.49440002","0.41935483","187"
"565.1297","249.32318","0.45600003","0.41935483","204"
"585.21155","235.06723","0.44160002","0.41935483","220"
"591.7063","230.04953","0.4512","0.41935483","237"
"592.21747","230.17978","0.4512","0.41935483","254"
"586.1017","235.03824","0.4512","0.48387095","271"
"564.7188","250.4339","0.4512","0.48387095","287"
"513.5267","288.74982","0.432","0.48387095","304"
"409.8831","366.6494","0.2784","0.4516129","321"
"401.92856","374.2857","0.21120001","0.41935483","324"
