"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","maggie","nexus-79"
"647.0","813.0","maggie","nexus-79"
"604.0","604.0","maggie","nexus-79"
"634.0","306.0","maggie","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"365.3214","666.5714","0.2592","0.41935483","0"
"406.29642","691.7677","0.48000002","0.4516129","54"
"467.5273","719.50806","0.504","0.4516129","75"
"502.1491","733.6321","0.47040004","0.4516129","92"
"543.56213","752.2831","0.44160002","0.4516129","108"
"583.9874","769.38824","0.42240003","0.4516129","125"
"602.2942","776.9742","0.4176","0.4516129","142"
"610.1579","779.7143","0.39360002","0.4516129","159"
"616.14667","778.88965","0.3792","0.4516129","175"
"619.3123","775.4803","0.37440002","0.4516129","192"
"621.125","770.7143","0.40800002","0.4516129","206"
"622.5379","760.3626","0.40320003","0.4516129","226"
"627.48694","716.7084","0.4176","0.4516129","242"
"629.7704","686.97644","0.4176","0.4516129","259"
"627.3328","662.6572","0.44160002","0.4516129","276"
"626.0357","637.874","0.4128","0.4516129","292"
"626.0357","614.4129","0.44160002","0.4516129","309"
"626.8599","577.2959","0.42240003","0.4516129","325"
"627.864","554.162","0.43680003","0.4516129","342"
"635.94403","492.15436","0.43680003","0.4516129","359"
"649.89465","433.49023","0.432","0.4516129","376"
"663.4745","386.76733","0.44160002","0.4516129","392"
"675.1429","359.71436","0.3264","0.41935483","407"
