"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","maggie","nexus-59"
"340.0","367.0","maggie","nexus-59"
"439.0","650.0","maggie","nexus-59"
"106.0","619.0","maggie","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"506.39282","628.5714","0.17760001","0.41935483","0"
"488.19537","614.53046","0.3792","0.41935483","44"
"468.53128","580.49493","0.44160002","0.41935483","60"
"454.52393","555.0704","0.44640002","0.41935483","67"
"434.74792","516.378","0.48960003","0.41935483","79"
"409.5369","465.8813","0.49920002","0.41935483","97"
"391.17807","437.17517","0.5184","0.41935483","114"
"378.7335","422.3103","0.528","0.41935483","131"
"374.17633","416.78644","0.53760004","0.41935483","148"
"371.57144","415.5714","0.5472","0.41935483","157"
"370.67856","417.11768","0.5424","0.41935483","180"
"373.0455","427.6604","0.5424","0.41935483","196"
"385.7279","468.13458","0.53760004","0.41935483","212"
"407.4155","518.9723","0.51360005","0.41935483","229"
"427.57257","563.9453","0.48960003","0.41935483","246"
"436.01227","589.58966","0.49440002","0.41935483","263"
"442.75012","609.61194","0.47520003","0.41935483","279"
"443.90475","615.7828","0.4656","0.41935483","296"
"443.37363","626.27954","0.47040004","0.41935483","313"
"438.50433","632.88727","0.44640002","0.41935483","330"
"427.06406","637.6141","0.44160002","0.41935483","347"
"399.99857","637.1342","0.44160002","0.41935483","364"
"339.2036","631.1097","0.47040004","0.41935483","381"
"279.54315","622.4612","0.48960003","0.41935483","397"
"242.97525","618.316","0.48000002","0.41935483","414"
"194.21599","612.94226","0.47520003","0.41935483","431"
"147.00414","606.59503","0.4512","0.41935483","448"
"129.60715","604.1428","0.35520002","0.41935483","463"
