"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","maggie","nexus-59"
"274.0","724.0","maggie","nexus-59"
"356.0","105.0","maggie","nexus-59"
"454.0","391.0","maggie","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"284.9643","588.2857","0.1392","0.41935483","0"
"277.0682","600.6036","0.28800002","0.41935483","39"
"275.79102","607.54266","0.28800002","0.41935483","53"
"270.72253","632.1858","0.2976","0.41935483","67"
"263.82178","666.2275","0.2928","0.41935483","84"
"261.75","678.0997","0.30240002","0.41935483","101"
"259.98782","685.07513","0.3072","0.41935483","119"
"259.9643","688.99","0.30240002","0.41935483","135"
"259.9643","688.5609","0.31680003","0.41935483","152"
"259.9643","686.00006","0.31680003","0.41935483","162"
"261.0107","675.8344","0.312","0.41935483","186"
"271.95642","618.7134","0.36","0.41935483","203"
"281.08716","559.2126","0.384","0.41935483","220"
"287.18417","504.96704","0.4176","0.41935483","237"
"296.0624","444.27765","0.4176","0.41935483","254"
"304.7696","385.76544","0.42720002","0.41935483","271"
"313.3226","328.2893","0.44640002","0.41935483","287"
"317.56378","299.2553","0.46080002","0.41935483","304"
"324.61136","238.87772","0.4656","0.41935483","321"
"329.02686","195.43512","0.47040004","0.41935483","338"
"332.38516","181.3327","0.48000002","0.41935483","355"
"335.8014","171.82138","0.47520003","0.41935483","372"
"339.18423","165.63754","0.47520003","0.41935483","389"
"342.67896","161.18787","0.4656","0.41935483","406"
"344.3393","159.2857","0.45600003","0.41935483","418"
"346.88693","159.46292","0.44160002","0.41935483","440"
"351.7696","165.2251","0.47040004","0.41935483","457"
"363.20282","184.71265","0.49920002","0.41935483","473"
"387.44827","230.28372","0.49440002","0.41935483","490"
"404.46332","265.96356","0.48000002","0.41935483","507"
"425.14078","308.22998","0.44160002","0.41935483","524"
"438.6995","342.75745","0.384","0.41935483","541"
"444.54007","356.07263","0.36960003","0.41935483","558"
"457.73215","387.71423","0.2064","0.3548387","577"
