"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","lyle","nexus-59"
"360.0","281.0","lyle","nexus-59"
"178.0","102.0","lyle","nexus-59"
"649.0","664.0","lyle","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"685.8571","585.7143","0.2784","0.41935483","0"
"675.80054","576.05994","0.90720004","0.48387095","85"
"672.57245","572.961","0.92160004","0.516129","100"
"667.81946","567.0691","0.96480006","0.58064514","115"
"657.4662","555.0737","0.98880005","0.61290324","130"
"646.57605","542.00555","0.98880005","0.61290324","141"
"630.7402","524.161","1.0128001","0.7096774","157"
"606.0907","495.3009","1.0128001","0.6451613","174"
"588.28485","477.73242","1.008","0.6451613","191"
"568.342","456.37213","1.0032","0.7096774","208"
"550.40247","437.7469","0.9936001","0.6774193","225"
"529.6216","417.2293","0.984","0.6774193","242"
"497.9297","386.44678","0.97440004","0.6774193","259"
"468.93826","358.26465","0.97920007","0.7419355","276"
"440.3847","327.99695","0.9696","0.7096774","293"
"415.31445","302.35968","0.94560003","0.7096774","310"
"396.2821","279.96942","0.9312","0.6451613","327"
"378.5423","258.27444","0.92640007","0.61290324","343"
"357.0034","233.08011","0.92640007","0.61290324","360"
"335.66257","208.84775","0.92640007","0.61290324","377"
"327.6066","201.50806","0.91200006","0.61290324","394"
"301.09375","176.05573","0.88320005","0.61290324","411"
"282.96304","159.44238","0.8784","0.61290324","428"
"266.0709","146.91287","0.86880004","0.61290324","445"
"251.24402","135.70282","0.85920006","0.6451613","462"
"233.85602","123.79767","0.8496","0.7096774","479"
"217.58286","112.033966","0.85920006","0.6774193","496"
"202.6496","102.17575","0.86880004","0.61290324","513"
"193.72292","97.48987","0.864","0.61290324","529"
"187.88661","95.22089","0.88320005","0.61290324","546"
"186.32236","94.36618","0.88320005","0.61290324","563"
"183.95938","93.714294","0.90720004","0.6451613","580"
"184.9778","96.311646","0.92640007","0.7096774","597"
"187.99794","101.59738","0.92160004","0.6774193","614"
"204.63853","121.1279","0.92160004","0.6774193","631"
"234.90057","157.34702","0.9024","0.61290324","648"
"270.1044","202.80963","0.92160004","0.6451613","665"
"302.3536","245.9542","0.9552","0.61290324","682"
"339.16052","293.94263","0.95040005","0.61290324","699"
"356.69794","317.31158","0.9552","0.6451613","715"
"400.60263","372.73077","0.95040005","0.61290324","732"
"440.91672","424.36517","0.9696","0.6451613","749"
"474.6815","467.10748","1.0032","0.61290324","766"
"508.54102","510.77283","1.0224","0.61290324","783"
"539.59094","550.07275","1.0224","0.61290324","800"
"560.1119","576.24854","0.9936001","0.61290324","817"
"576.7454","599.165","0.98880005","0.6774193","834"
"584.1512","611.304","0.98880005","0.7096774","851"
"598.3572","633.28577","0.91200006","0.6451613","865"
