"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","lyle","nexus-59"
"360.0","281.0","lyle","nexus-59"
"178.0","102.0","lyle","nexus-59"
"649.0","664.0","lyle","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"644.7857","550.5714","0.51360005","0.58064514","0"
"636.9053","535.79504","0.984","0.61290324","82"
"632.1118","529.577","0.99840003","0.6451613","96"
"627.8214","524.4285","1.0176","0.6774193","105"
"620.22345","513.95966","1.0224","0.7419355","125"
"603.4728","493.33453","1.0224","0.7096774","138"
"580.8149","469.38354","1.0176","0.7419355","155"
"557.5616","447.45935","1.0032","0.7096774","172"
"528.1955","421.20892","1.0032","0.6451613","189"
"510.10248","404.66614","0.99840003","0.7096774","205"
"476.01932","374.78882","0.9936001","0.6451613","222"
"446.4875","347.34802","1.0032","0.6774193","239"
"433.3604","334.74597","1.0032","0.6451613","256"
"406.62485","309.07983","0.97920007","0.6451613","273"
"377.0259","279.80774","0.97920007","0.6451613","290"
"359.04724","261.69107","0.97440004","0.61290324","307"
"335.91275","238.68552","0.97920007","0.6774193","324"
"313.13297","217.65631","0.9552","0.6451613","341"
"295.53714","201.78409","0.92160004","0.6451613","358"
"278.7209","185.4349","0.92160004","0.7096774","374"
"266.48172","175.0054","0.9168","0.6774193","391"
"248.10397","160.9527","0.90720004","0.61290324","408"
"229.7598","146.78064","0.89760005","0.61290324","425"
"216.29973","136.78265","0.8880001","0.6774193","442"
"207.03006","129.46887","0.8784","0.6774193","459"
"201.3082","125.31726","0.88320005","0.6774193","476"
"196.88785","122.151886","0.9024","0.6774193","493"
"193.88933","120.28232","0.92640007","0.7741935","510"
"192.55357","120.285706","0.9408001","0.80645156","522"
"192.10715","120.95538","0.95040005","0.80645156","543"
"192.84192","123.4108","0.96000004","0.7096774","560"
"195.45793","127.68228","0.96000004","0.7741935","577"
"204.4788","139.83572","0.96000004","0.7096774","594"
"221.32196","163.21222","0.95040005","0.7096774","611"
"248.74677","201.31558","0.9552","0.6451613","628"
"265.9744","225.47687","0.9696","0.7096774","645"
"288.0893","254.00003","0.9552","0.6451613","658"
"308.86697","283.47473","0.95040005","0.61290324","679"
"343.47775","332.1236","0.94560003","0.6774193","696"
"370.80988","369.03363","0.9552","0.61290324","713"
"403.02042","409.47156","0.97440004","0.61290324","730"
"441.8214","454.80762","0.9696","0.61290324","746"
"479.6882","496.8097","0.9552","0.6451613","763"
"508.75305","529.935","0.97920007","0.61290324","780"
"531.83923","556.5715","0.98880005","0.61290324","793"
"547.6989","575.2277","0.96000004","0.61290324","814"
"577.26105","613.45294","0.96000004","0.6451613","831"
"596.92456","639.53784","0.9552","0.61290324","848"
"607.35254","653.6899","0.92640007","0.61290324","865"
"609.0714","656.0","0.84000003","0.6451613","868"
