"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","lyle","nexus-80"
"360.0","281.0","lyle","nexus-80"
"178.0","102.0","lyle","nexus-80"
"649.0","664.0","lyle","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"679.6071","585.1429","0.1824","0.32258064","0"
"670.6786","581.7143","0.7824","0.3548387","67"
"669.33923","580.4286","0.80640006","0.3548387","77"
"667.8972","579.0442","0.84480006","0.3548387","97"
"663.9439","576.10614","0.8784","0.41935483","111"
"660.9157","574.32324","0.89760005","0.48387095","120"
"651.5748","567.55695","0.9312","0.58064514","136"
"638.91754","557.4483","0.9312","0.6774193","153"
"627.4067","547.88763","0.9168","0.61290324","170"
"614.837","534.237","0.9024","0.61290324","186"
"603.3537","521.2989","0.8352","0.61290324","203"
"596.5076","514.79584","0.85920006","0.6451613","220"
"576.88196","493.85504","0.79200006","0.61290324","236"
"561.1739","477.89325","0.82080007","0.6451613","253"
"546.3286","463.19543","0.6672","0.61290324","270"
"518.07574","433.73468","0.57600003","0.54838705","286"
"498.1283","414.35175","0.528","0.516129","303"
"480.29926","398.73395","0.504","0.516129","320"
"460.4235","379.3274","0.47040004","0.48387095","336"
"434.32065","353.9535","0.47520003","0.48387095","353"
"418.78598","339.04028","0.46080002","0.4516129","370"
"393.48712","312.56183","0.47040004","0.4516129","386"
"375.04608","293.60974","0.46080002","0.4516129","403"
"350.1406","268.0544","0.4512","0.4516129","420"
"336.3847","252.71265","0.4512","0.4516129","436"
"318.1434","232.4849","0.4512","0.4516129","453"
"288.2747","203.42804","0.44160002","0.4516129","470"
"274.21756","190.26495","0.5184","0.516129","486"
"257.12012","176.60873","0.48960003","0.516129","503"
"233.07114","152.63284","0.47040004","0.48387095","520"
"225.05634","146.20267","0.5328","0.48387095","536"
"213.93712","135.52823","0.56640005","0.54838705","553"
"210.85715","133.85712","0.5328","0.54838705","565"
"204.60713","127.42859","0.55200005","0.58064514","584"
"200.83112","123.80359","0.5952","0.61290324","602"
"197.7483","123.279175","0.624","0.61290324","619"
"195.67857","121.42859","0.73440003","0.7096774","638"
"192.3552","122.04761","0.70080006","0.6451613","669"
"192.10715","123.057465","0.72","0.61290324","686"
"193.5978","126.57883","0.6","0.54838705","703"
"199.04156","136.7876","0.5856","0.58064514","719"
"206.36006","148.58774","0.5424","0.54838705","736"
"215.19475","165.26666","0.5328","0.54838705","753"
"240.87897","199.14932","0.5424","0.516129","769"
"271.8753","240.38898","0.504","0.516129","786"
"294.06006","268.3381","0.504","0.516129","803"
"322.7774","302.30487","0.5856","0.516129","819"
"344.3393","329.2857","0.70080006","0.58064514","834"
"363.39774","347.4654","0.65760005","0.54838705","853"
"398.16946","386.5276","0.80160004","0.61290324","869"
"435.2877","421.24548","0.8496","0.61290324","886"
"455.72482","443.71606","0.8784","0.6451613","903"
"475.65237","463.96667","0.8496","0.61290324","919"
"494.06128","485.9298","0.89280003","0.6774193","936"
"513.0041","510.47333","0.9168","0.6774193","953"
"538.0893","540.1429","0.80160004","0.61290324","965"
"553.7918","564.2092","0.85440004","0.6774193","986"
"568.6533","587.2305","0.86880004","0.61290324","1003"
"583.61115","608.0218","0.8880001","0.6451613","1019"
"604.7021","625.98584","0.864","0.7096774","1036"
"623.9976","639.5528","0.8352","0.6451613","1053"
"645.62286","648.2073","0.5088","0.54838705","1069"
